region,province,temp_moy_an,temp_max_mois,temp_min_mois,precip_totale_an,humidite_moy_an,amplitude_thermique,elevation_m,lai_haute_veg,lai_basse_veg,couverture_haute_veg,couverture_basse_veg,type_sol,zone_bioclim,total_cas,statut_vecteur,latitude,longitude
Rabat-Salé-Kénitra,Sidi Kacem,19.03222805448718,30.559061,9.722704,543.9774567359127,63.337518410256415,20.836357,201.35384,3.166844,1.6299438,0.44019863,0.5056451,4.0,4,1187,indice_indirect,34.27525242857143,-5.628216
Rabat-Salé-Kénitra,Sidi Slimane,18.925901064102565,29.581472,10.131838,514.4772117827387,67.58577641666668,19.449634000000003,63.97289,3.9104238,1.7931199,0.5848897,0.38717848,4.0,2,18,non_documente,34.415450666666665,-5.997908190476191
Rabat-Salé-Kénitra,Skhirate-Témara,17.971278669871797,26.633976,9.77209,428.3772325994304,70.20251507051282,16.861886,215.40283,4.0649414,1.4660121,0.34806797,0.4124978,3.0,2,0,non_documente,33.78296578571429,-6.8241349285714294
Souss-Massa,Agadir-Ida Ou Tanane,19.122325128205127,29.462555,10.255931,331.1416274331164,53.79986022435898,19.206623999999998,517.30096,4.4613037,0.53121185,0.32296824,0.5355699,2.0,0,211,non_documente,30.738962875,-9.5611336875
Souss-Massa,Chtouka-Aït Baha,18.15737192628205,29.346905,8.118679,268.3813869615114,47.98303129487179,21.228226,864.31067,4.2781167,0.48534417,0.06597253,0.3168282,2.0,0,52,non_documente,29.902320151515152,-9.09278996969697
Souss-Massa,Inezgane-Aït Melloul,20.18215876923077,30.431303,12.050661,268.95108205025406,58.680692615384615,18.380642,218.14493,4.9956326,0.39048937,0.21463352,0.4722209,1.0,2,12,non_documente,30.321236944444447,-9.419611333333332
Souss-Massa,Taroudant,18.786108685897435,30.64588,8.38345,307.24127898301526,42.82694512820513,22.26243,943.7909,4.25313,0.4850754,0.2859824,0.42354682,2.0,0,466,non_documente,30.538088147540982,-8.740010540983606
Souss-Massa,Tata,19.710245400641025,32.271244,8.217779,155.83009953588015,32.60099725,24.053465000000003,1077.4911,1.5653223,0.49773437,0.0070397947,0.21901041,2.0,5,4,indice_indirect,29.903712,-8.023498479999999
Souss-Massa,Tiznit,18.29031211217949,29.107866,9.14356,240.73240349822228,53.344078301282046,19.964306,675.1553,2.2650099,0.4618061,0.03310218,0.5242043,2.0,0,19,non_documente,29.529571961538462,-9.560379192307693
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,16.05504326666667,26.241934,7.0575256,472.08973228998286,67.60348582051282,19.184408400000002,614.0728,3.5652058,0.45000407,0.24107556,0.4008687,2.0,4,171,indice_indirect,35.0460845,-3.9908379666666667
Tanger-Tétouan-Al Hoceïma,Chefchaouen,16.203925528846153,27.193756,6.781298,879.3073138868644,70.75415188461538,20.412458,634.186,2.550708,2.4054606,0.640639,0.2519543,2.0,6,56,confirme,35.112900233333335,-5.141789966666667
Tanger-Tétouan-Al Hoceïma,Fahs-Anjra,17.260859346153847,25.997467,9.711171,622.7666361300896,75.18401148717949,16.286296,140.07944,4.2304688,2.3757672,0.13807896,0.12856129,0.0,6,8,non_documente,35.741447,-5.531275714285714
Tanger-Tétouan-Al Hoceïma,Larache,18.019804913461538,27.26293,9.68277,757.5128720410598,73.89369749358974,17.58016,84.36185,4.231669,1.6616567,0.3600713,0.38590002,4.0,6,197,indice_indirect,35.09619775,-6.0102048749999994
Tanger-Tétouan-Al Hoceïma,M'diq-Fnideq,17.716417397435897,25.706451,11.092031,597.5962649253138,76.7542599871795,14.61442,74.042496,0.96832275,0.7579346,0.0,0.0,0.0,6,6,non_documente,35.83012375,-5.36360025
