id,commune,province,region,latitude,longitude,osm_id
644,Imrabten,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.046903,-3.979661,2440970
645,Imsouane,Agadir-Ida Ou Tanane,Souss-Massa,30.844578,-9.7728,2758266
646,Imzouren,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.143209,-3.844429,2423104
647,Inchaden,Inezgane-Aït Melloul,Souss-Massa,30.104121,-9.566497,2832941
648,Inezgane,Inezgane-Aït Melloul,Souss-Massa,30.357075,-9.541705,2529625
649,Iounane,Chefchaouen,Tanger-Tétouan-Al Hoceïma,35.03434,-4.825353,2563397
650,Iqaddar,El Hajeb,Fès-Meknès,33.676721,-5.362711,2819564
651,Irherm,Taroudant,Souss-Massa,30.090151,-8.502006,2875722
652,Irigh N'Tahala,Chtouka-Aït Baha,Souss-Massa,29.622261,-9.084555,2888729
653,Irohalen,Chichaoua,Marrakech-Safi,31.066013,-8.898329,2830912
654,Isly,Oujda-Angad,Oriental,34.69142,-2.046472,2527999
655,Issafen,Tata,Souss-Massa,29.868768,-8.513751,2885791
656,Issaguen,Taounate,Fès-Meknès,34.900536,-4.575986,2516837
657,Isseksi,Béni Mellal,Béni Mellal-Khénifra,32.215134,-6.297824,2887172
658,Issen,Inezgane-Aït Melloul,Souss-Massa,30.443282,-9.240517,2835864
659,Itzer,Guigou,Fès-Meknès,32.967073,-5.049457,2826589
660,Izemmouren,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.190599,-4.004796,2440716
661,Jaafra,El Kelâa des Sraghna,Marrakech-Safi,32.36999,-7.728795,2881869
662,Jabria,Sidi Bennour,Casablanca-Settat,32.569147,-8.316136,2846748
663,Jahjouh,Meknès,Fès-Meknès,33.612253,-5.698782,2808107
664,Jaidate,Marrakech,Marrakech-Safi,31.697196,-7.727987,2881839
665,Jamaat Shaim,Youssoufia,Marrakech-Safi,32.358164,-8.827455,2827836
666,Jaqma,Berrechid,Casablanca-Settat,33.289413,-7.462298,2822695
667,Jbabra,Taounate,Fès-Meknès,34.441055,-4.956118,2755089
668,Jbarna,Taza,Fès-Meknès,34.522356,-3.843469,2754001
669,Jbel Lahbib,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,35.457477,-5.784214,2563433
670,Jbiel,El Kelâa des Sraghna,Marrakech-Safi,31.972094,-7.477291,2881948
671,Jbilate,Marrakech,Marrakech-Safi,31.832108,-7.922608,5175843
672,Jdiriya,Assa-Zag,Guelmim-Oued Noun,27.242643,-9.724877,3666707
673,Jdour,Youssoufia,Marrakech-Safi,32.110125,-8.756201,2827863
674,Jemaat Moul Blad,Khemisset,Rabat-Salé-Kénitra,33.66073,-6.449019,2808255
675,Jerada,Jerada,Oriental,34.306594,-2.182694,2435196
676,Jnane Bouih,Youssoufia,Marrakech-Safi,31.967256,-8.71486,2827861
677,Jorf,Errachidia,Drâa-Tafilalet,31.487858,-4.40127,2884808
678,Jorf El Melha,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.491779,-5.508191,2755140
679,Jouala,El Kelâa des Sraghna,Marrakech-Safi,31.897699,-7.478824,2881882
680,Jouamaa,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,35.646464,-5.657366,2752879
681,Jraifia,Boujdour,Laâyoune-Sakia El Hamra,25.260896,-14.318114,3552447
682,Kaf El Ghar,Taounate,Fès-Meknès,34.536659,-4.290429,2758256
683,Kalaat Booqorra,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.777161,-5.218858,2563389
684,Kalaat M'Gouna,Tinghir,Drâa-Tafilalet,31.234868,-6.12785,2887607
685,Kandar Sidi Khiar,Sefrou,Fès-Meknès,33.803674,-4.916129,2808816
686,Karia Ba Mohamed,Moulay Yacoub,Fès-Meknès,34.366241,-5.208207,2755091
687,Kariat Ben Aouda,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.77599,-5.952555,2753076
688,Kasba Tadla,Béni Mellal,Béni Mellal-Khénifra,32.596556,-6.263757,2882860
689,Kasbat Ben Mchich,Berrechid,Casablanca-Settat,33.351943,-7.440584,2822693
690,Kasbat Sidi Abdellah Ben M'Barek,Tata,Souss-Massa,29.456662,-8.333979,2885796
691,Kasbat Troch,Khouribga,Béni Mellal-Khénifra,32.932825,-6.595358,2879653
692,Kceibya,Sidi Slimane,Rabat-Salé-Kénitra,34.291661,-6.161253,2812418
693,Kechoula,Chichaoua,Marrakech-Safi,31.531257,-9.25424,2820970
694,Kerrouchen,Khénifra,Béni Mellal-Khénifra,32.783884,-5.346976,2826596
695,Ketama,Taounate,Fès-Meknès,34.883818,-4.680256,2516838
696,Khatazakane,Safi,Marrakech-Safi,32.216728,-9.130778,2827813
697,Khemis Sahel,Larache,Tanger-Tétouan-Al Hoceïma,35.244098,-6.062406,2754035
698,Khemis Sidi Yahya,Khemisset,Rabat-Salé-Kénitra,33.793945,-6.237478,2808195
699,Khemisset Chaouia,Settat,Casablanca-Settat,32.86285,-7.76515,2879962
700,Khenifra,Khénifra,Béni Mellal-Khénifra,32.935951,-5.664356,2875670
701,Khlalfa,Taounate,Fès-Meknès,34.671739,-4.632161,2754997
702,Khmis Ksiba,Rehamna,Marrakech-Safi,32.514448,-8.212103,2846745
703,Khnichet,Sidi Kacem,Rabat-Salé-Kénitra,34.429112,-5.656963,2813812
704,Khouribga,Khouribga,Béni Mellal-Khénifra,32.876258,-6.903491,2879633
705,Khouzama,Al Haouz,Marrakech-Safi,30.886369,-7.543337,2887673
706,Khémisset,Khemisset,Rabat-Salé-Kénitra,33.824753,-6.070023,2808190
707,Kissane,Taounate,Fès-Meknès,34.591997,-5.037189,2753142
708,Korimate,Essaouira,Marrakech-Safi,31.459407,-9.276251,2820957
709,Koudiat Bni Dghough,Youssoufia,Marrakech-Safi,32.430094,-8.484962,2823077
710,Kouzemt,Essaouira,Marrakech-Safi,31.082133,-9.261895,2830856
711,Kridid,Sidi Bennour,Casablanca-Settat,32.494245,-8.602655,2823080
712,Krifate,Fquih Ben Salah,Béni Mellal-Khénifra,32.551386,-6.711105,2882499
713,Ksabi Moulouya,Midelt,Drâa-Tafilalet,32.79442,-4.270934,2817786
714,Ksar Bjir,Larache,Tanger-Tétouan-Al Hoceïma,34.984038,-5.881185,2563440
715,Ksar Sghir,Fahs-Anjra,Tanger-Tétouan-Al Hoceïma,35.799848,-5.636239,2752877
716,Ksar al Majaz,Fahs-Anjra,Tanger-Tétouan-Al Hoceïma,35.825161,-5.511112,2752878
717,Ksar el-Kebir,Larache,Tanger-Tétouan-Al Hoceïma,35.005235,-5.915844,2563448
718,Ktaoua,Zagora,Drâa-Tafilalet,30.125594,-5.298034,2884928
719,Kénitra,Kénitra,Rabat-Salé-Kénitra,34.256562,-6.581968,2804287
720,Laagagcha,Sidi Bennour,Casablanca-Settat,32.548454,-8.688557,2823081
721,Laajajra,Moulay Yacoub,Fès-Meknès,34.193357,-5.162657,2813718
722,Laamamra,Chichaoua,Marrakech-Safi,31.892424,-8.972511,2827856
723,Laamria,Sidi Bennour,Casablanca-Settat,32.817504,-8.229716,2823004
724,Laanoussar,Sefrou,Fès-Meknès,33.639433,-4.819891,2808819
725,Laaouama,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,35.690384,-5.794907,2752880
726,Laaouinate,Jerada,Oriental,34.334733,-2.134282,2528008
727,Laaounate,Sidi Bennour,Casablanca-Settat,32.681703,-8.158294,2823011
728,Laatamna,El Kelâa des Sraghna,Marrakech-Safi,31.915667,-7.336004,2881939
729,Laatatra,Sidi Bennour,Casablanca-Settat,32.592318,-8.376554,2823036
730,Laattaouia Ech-Chaybia,El Kelâa des Sraghna,Marrakech-Safi,31.865916,-7.349248,2881941
731,Labkhati,Youssoufia,Marrakech-Safi,32.408033,-8.663514,2827833
732,Labouirat,Assa-Zag,Guelmim-Oued Noun,27.974144,-9.870696,2891028
733,Labrikiyne,Rehamna,Marrakech-Safi,32.288197,-8.073176,2881798
734,Labsara,Berkane,Oriental,34.683126,-2.20731,2502035
735,Labyar,Guelmim,Guelmim-Oued Noun,28.777878,-10.421985,2885948
736,Lagdadra,Essaouira,Marrakech-Safi,31.551527,-9.418347,2821031
737,Lagfaf,Khouribga,Béni Mellal-Khénifra,32.93625,-6.724996,2879649
738,Lagfifat,Chtouka-Aït Baha,Souss-Massa,30.312924,-9.255072,2835879
739,Laghdir,Chefchaouen,Tanger-Tétouan-Al Hoceïma,35.03752,-5.391814,2563393
740,Laghdira,Nouaceur,Casablanca-Settat,33.29861,-8.044807,2866411
741,Laghnadra,Sidi Bennour,Casablanca-Settat,32.644379,-8.670101,2823084
742,Laghnimyine,Berrechid,Casablanca-Settat,33.196269,-7.837286,2866414
743,Laghoualem,Benslimane,Casablanca-Settat,33.375257,-6.718354,2808268
744,Lagnadiz,Khouribga,Béni Mellal-Khénifra,33.165295,-6.791443,2879638
745,Lahdar,Youssoufia,Marrakech-Safi,32.447874,-8.819696,2827832
746,Lahouaza,Settat,Casablanca-Settat,32.954631,-7.687526,2879958
747,Lahraouyine,Casablanca,Casablanca-Settat,33.541325,-7.520907,2523591
748,Lahsasna,Berrechid,Casablanca-Settat,33.18364,-7.66876,2822727
749,Lahsinate,Essaouira,Marrakech-Safi,31.537841,-9.481715,2821033
750,Lakhnafif,Taroudant,Souss-Massa,30.401328,-8.998836,2835897
751,Lakhoualqa,Youssoufia,Marrakech-Safi,32.061962,-8.359551,2827879
752,Lakhsas,Tiznit,Souss-Massa,29.370353,-9.75306,2886017
753,Lakhzazra,Khouribga,Béni Mellal-Khénifra,33.007356,-7.043856,2822805
754,Lalla Aaziza,Chichaoua,Marrakech-Safi,31.054535,-8.695125,2830921
755,Lalla Mimouna,Larache,Tanger-Tétouan-Al Hoceïma,34.829716,-6.06255,2753070
756,Lalla Takarkoust,Al Haouz,Marrakech-Safi,31.323613,-8.122587,3534184
757,Lamaachate,Safi,Marrakech-Safi,32.001942,-9.361046,2827799
758,Lambarkiyine,Berrechid,Casablanca-Settat,33.218644,-7.468261,2822744
759,Lamhadi,Taroudant,Souss-Massa,30.326186,-9.016592,2875680
760,Lamhara,Taroudant,Souss-Massa,30.551796,-8.456821,2890497
761,Lamharra,El Kelâa des Sraghna,Marrakech-Safi,32.05999,-7.732958,2881854
762,Lamharza Essahel,Nouaceur,Casablanca-Settat,33.38958,-8.059808,2806139
763,Lamjaara,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.619711,-5.266432,2753147
764,Lamnizla,Taroudant,Souss-Massa,30.644463,-9.09496,2835858
765,Lamrabih,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.475776,-5.443623,2755115
766,Lamrasla,Safi,Marrakech-Safi,32.01397,-8.915619,2827853
767,Lamrija,Guercif,Oriental,33.931773,-3.278763,2759221
768,Lamsabih,Youssoufia,Marrakech-Safi,32.293149,-8.68894,2827887
769,Lamssid,Boujdour,Laâyoune-Sakia El Hamra,26.094647,-13.458117,3665498
770,Laouamra,Larache,Tanger-Tétouan-Al Hoceïma,35.073989,-6.142688,2754180
771,Laqraqra,Fquih Ben Salah,Béni Mellal-Khénifra,32.412669,-7.106783,2879988
772,Laqsabi Tagoust,Guelmim,Guelmim-Oued Noun,28.971204,-10.219945,2885947
773,Laqsir,Moulay Yacoub,Fès-Meknès,33.904275,-5.232725,2759247
774,Larache,Larache,Tanger-Tétouan-Al Hoceïma,35.181346,-6.139343,2754034
775,Laâtamna,Berkane,Oriental,35.027003,-2.265417,2447390
776,Laâyoune,Laâyoune,Laâyoune-Sakia El Hamra,27.141698,-13.181168,3409845
777,Lebkhata,Jerada,Oriental,34.177733,-2.401794,3551309
778,Lehri,Khénifra,Béni Mellal-Khénifra,32.830879,-5.608562,2826612
779,Lgharbia,Sidi Bennour,Casablanca-Settat,32.57991,-8.873965,2823064
780,Lkheng,Errachidia,Drâa-Tafilalet,31.927618,-4.366079,2827219
781,Lmechrek,Sidi Bennour,Casablanca-Settat,32.738739,-8.462848,3549746
782,Louadaine,Fès,Fès-Meknès,34.22636,-4.917929,2813692
783,Loualidia,Safi,Marrakech-Safi,32.707249,-8.972566,2823057
784,Loudaya,Marrakech,Marrakech-Safi,31.645193,-8.303278,2824265
785,Loulad,Khouribga,Béni Mellal-Khénifra,32.988544,-7.131511,2880018
786,Loulja,Fès,Fès-Meknès,34.291719,-4.902937,2755084
787,Lounasda,El Kelâa des Sraghna,Marrakech-Safi,32.191051,-7.387664,2881875
788,Louta,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.10903,-3.895256,2436239
789,Lqliaa,Inezgane-Aït Melloul,Souss-Massa,30.313821,-9.528513,2758288
790,M'Diq,M'diq-Fnideq,Tanger-Tétouan-Al Hoceïma,35.718224,-5.334807,2464647
791,M'Fassis,Khouribga,Béni Mellal-Khénifra,32.748703,-6.814591,2879643
792,M'Garto,Khouribga,Béni Mellal-Khénifra,33.160815,-7.054159,2822778
793,M'Hajer,Driouch,Oriental,35.106338,-3.492912,2428511
794,M'Hamid El Ghizlane,Zagora,Drâa-Tafilalet,29.762343,-5.904932,2884930
795,M'Haya,Moulay Yacoub,Fès-Meknès,34.035767,-5.264705,2813766
796,M'Nabha,Marrakech,Marrakech-Safi,31.956798,-8.127278,2824262
797,M'Qam Tolba,Khemisset,Rabat-Salé-Kénitra,34.013941,-6.253141,2808212
798,M'Ramer,Chichaoua,Marrakech-Safi,31.685866,-9.170125,2821094
799,M'Saada,Sidi Slimane,Rabat-Salé-Kénitra,34.38177,-5.849422,2813786
800,M'Semrir,Tinghir,Drâa-Tafilalet,31.718695,-5.87374,2887482
801,M'Ssici,Tinghir,Drâa-Tafilalet,30.998972,-4.784245,2884882
802,M'Tal,Sidi Bennour,Casablanca-Settat,32.506851,-8.406592,2823085
803,M'Zem Sanhaja,El Kelâa des Sraghna,Marrakech-Safi,31.991283,-7.120305,2881937
804,M'Zizel,Errachidia,Drâa-Tafilalet,32.171033,-4.710853,2827135
805,M'Zouda,Chichaoua,Marrakech-Safi,31.233954,-8.55195,2830940
806,M'rirt,Khénifra,Béni Mellal-Khénifra,33.163223,-5.566139,2826623
807,M'tioua,Taounate,Fès-Meknès,35.14328,-4.577864,2563404
808,Maadna,Khouribga,Béni Mellal-Khénifra,32.910638,-6.499213,2879663
809,Maatarka,Jerada,Oriental,33.135593,-2.551746,2527823
810,Maaziz,Khemisset,Rabat-Salé-Kénitra,33.699687,-6.341634,2808292
811,Machraa Ben Abbou,Settat,Casablanca-Settat,32.677388,-7.821833,2879963
812,Machraa El Ain,Taroudant,Souss-Massa,30.372233,-8.928536,2835922
813,Madagh,Berkane,Oriental,35.052792,-2.362144,2447393
814,Maghraoua,Taza,Fès-Meknès,33.947957,-4.003457,2816178
815,Majjat,Chichaoua,Marrakech-Safi,31.455658,-8.577826,2830961
816,Majjate,Meknès,Fès-Meknès,33.804156,-5.524851,2808056
817,Majmaa Tolba,Khemisset,Rabat-Salé-Kénitra,33.719263,-6.002088,3544656
818,Mallalienne,Tétouan,Tanger-Tétouan-Al Hoceïma,35.637197,-5.377193,2464648
819,Malloussa,Fahs-Anjra,Tanger-Tétouan-Al Hoceïma,35.731647,-5.647444,2752962
820,Mançoura,Taounate,Fès-Meknès,34.844232,-4.960355,3587355
821,Marchouch,Skhirate-Témara,Rabat-Salé-Kénitra,33.56368,-6.635582,2808250
822,Marrakech,Marrakech,Marrakech-Safi,31.627312,-7.987035,2799538
823,Martil,Tétouan,Tanger-Tétouan-Al Hoceïma,35.622502,-5.299952,2464645
824,Masmouda,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.766331,-5.693971,2753082
825,Massa,Tiznit,Souss-Massa,29.960183,-9.665184,2832951
826,Matmata,Sefrou,Fès-Meknès,34.098001,-4.480882,2805330
827,Mayate,El Kelâa des Sraghna,Marrakech-Safi,32.245173,-7.518534,2881873
828,Mazguitam,Guercif,Oriental,34.50176,-3.639788,2754006
829,Mechouar Kasbah,Marrakech,Marrakech-Safi,31.599007,-7.990187,2799528
830,Mechra Bel Ksiri,Sidi Slimane,Rabat-Salé-Kénitra,34.576405,-5.966598,2753066
831,Mechraa Hammadi,Taourirt,Oriental,34.666074,-2.661579,2528357
832,Mehdya,Kénitra,Rabat-Salé-Kénitra,34.255945,-6.658931,2804286
833,Mejji,Essaouira,Marrakech-Safi,31.559292,-9.349236,2821028
834,Meknassa Acharqia,Taza,Fès-Meknès,34.363548,-3.930026,2758622
835,Meknassa Al Gharbia,Taza,Fès-Meknès,34.271577,-4.055914,2758250
836,Meknès,Meknès,Fès-Meknès,33.883852,-5.535448,2561177
837,Melaab,Errachidia,Drâa-Tafilalet,31.47682,-4.743048,2884852
838,Melga el Ouidane,Taourirt,Oriental,34.529348,-2.960681,3551315
839,Mellila,Benslimane,Casablanca-Settat,33.390408,-7.106095,2522584
840,Merija,Jerada,Oriental,33.926745,-2.279314,2528000
841,Mers El Kheir,Skhirate-Témara,Rabat-Salé-Kénitra,33.873902,-6.912553,2498872
842,Meskala,Essaouira,Marrakech-Safi,31.383517,-9.371479,2820954
843,Meskoura,Khouribga,Béni Mellal-Khénifra,32.59761,-7.234343,2879989
844,Messassa,Taounate,Fès-Meknès,34.256711,-4.521697,2805311
845,Mestegmer,Taourirt,Oriental,34.516529,-2.775155,2527997
846,Mestferki,Jerada,Oriental,34.494935,-2.262763,2528016
847,Mesti,Sidi Ifni,Guelmim-Oued Noun,29.270525,-10.182516,2885999
848,Metrane,Sidi Bennour,Casablanca-Settat,32.633287,-8.243228,2846733
849,Mettouh,Sidi Bennour,Casablanca-Settat,32.889557,-8.179935,2823002
850,Mezguita,Ouarzazate,Drâa-Tafilalet,30.68535,-6.372154,2884948
851,Mezraoua,Taounate,Fès-Meknès,34.524513,-4.738884,3549836
852,Mibladen,Midelt,Drâa-Tafilalet,32.789247,-4.586149,2826646
853,Midar,Driouch,Oriental,34.935998,-3.545971,2425002
854,Midelt,Midelt,Drâa-Tafilalet,32.685213,-4.74015,2826649
855,Mijik,Aousserd,Dakhla-Oued Ed-Dahab,23.770687,-12.696502,6054435
856,Mikkes,Moulay Yacoub,Fès-Meknès,34.127846,-5.266262,2808805
857,Mirleft,Sidi Ifni,Guelmim-Oued Noun,29.515168,-10.071343,2888222
858,Missour,Boulemane,Fès-Meknès,33.045475,-3.996696,2817783
859,Mkansa,Sidi Kacem,Rabat-Salé-Kénitra,34.335147,-5.406259,2813637
860,Mkhalif,Safi,Marrakech-Safi,31.878471,-9.239937,2821068
861,Mnasra,Kénitra,Rabat-Salé-Kénitra,34.370379,-6.556954,2804271
862,Mniaa,Settat,Casablanca-Settat,32.845772,-7.314116,2880014
863,Mograne,Kénitra,Rabat-Salé-Kénitra,34.449064,-6.35994,2804270
864,Mogress,Sidi Bennour,Casablanca-Settat,32.895168,-8.448534,2823014
865,Moha Ou Hammou Zayani,Khénifra,Béni Mellal-Khénifra,32.956992,-5.665508,2875669
866,Mohammédia,Mohammedia,Casablanca-Settat,33.691908,-7.394463,2523547
867,Moqrisset,Chefchaouen,Tanger-Tétouan-Al Hoceïma,34.928517,-5.311552,2563387
868,Moualine el Oued,Benslimane,Casablanca-Settat,33.449895,-7.298954,2522576
869,Mouarid,Chichaoua,Marrakech-Safi,31.399781,-9.250626,2820963
870,Moul El Bergui,Safi,Marrakech-Safi,32.507377,-8.978936,2827828
871,Moulay Abdelkader,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.642558,-5.782875,2810024
872,Moulay Abdelkrim,Moulay Yacoub,Fès-Meknès,34.475783,-5.212672,2755092
873,Moulay Abdellah Amghar,El Jadida,Casablanca-Settat,33.14931,-8.562966,2806106
874,Moulay Ahmed Cherif,Taounate,Fès-Meknès,34.93691,-4.471627,2516843
875,Moulay Aissa Ben Driss,Azilal,Béni Mellal-Khénifra,32.095747,-6.727326,2887238
876,Moulay Ali Chérif,Errachidia,Drâa-Tafilalet,31.27965,-4.266259,5150546
877,Moulay Bouazza,Khemisset,Rabat-Salé-Kénitra,33.253134,-6.13434,2826619
878,Moulay Bouchta,Moulay Yacoub,Fès-Meknès,34.514219,-5.140317,2755109
879,Moulay Bousselham,Larache,Tanger-Tétouan-Al Hoceïma,34.881461,-6.204135,2753074
880,Moulay Bouzarqtoune,Essaouira,Marrakech-Safi,31.662997,-9.630643,2821044
881,Moulay Brahim,Al Haouz,Marrakech-Safi,31.318473,-8.020681,3534180
882,Moulay Driss Aghbal,Skhirate-Témara,Rabat-Salé-Kénitra,33.721365,-6.508784,2808241
883,Moulay Idriss Zarhoun,Meknès,Fès-Meknès,34.055388,-5.519598,2561365
884,Moulay Yacoub,Moulay Yacoub,Fès-Meknès,34.087942,-5.178859,2808807
885,Mrhassiyine,Meknès,Fès-Meknès,34.005178,-5.501405,2813769
886,Mrizigue,Khouribga,Béni Mellal-Khénifra,32.84345,-7.114428,2880005
887,Msied,Tan-Tan,Guelmim-Oued Noun,28.048819,-10.730007,2890950
888,Msila,Taza,Fès-Meknès,34.442103,-4.167402,2758252
889,Mtalssa,Driouch,Oriental,34.869615,-3.412161,2424558
890,Mtarnagha,Sefrou,Fès-Meknès,33.858895,-4.581387,2816240
891,Mzamza Janoubia,Settat,Casablanca-Settat,32.997252,-7.567221,5911518
892,Mzefroune,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.852754,-5.729524,2753081
893,Mzilate,Chichaoua,Marrakech-Safi,31.718849,-9.114306,2821088
894,Mzoudia,Chichaoua,Marrakech-Safi,31.628601,-8.593129,2821122
895,Mzoura,Settat,Casablanca-Settat,32.828577,-7.943929,2866436
896,Méchouar Fès Jdid,Fès,Fès-Meknès,34.054216,-4.994243,2799561
897,Méchouar de Casablanca,Casablanca,Casablanca-Settat,33.579952,-7.604907,4748610
898,Médiouna,Nouaceur,Casablanca-Settat,33.459505,-7.514931,2522569
899,N'Kob,Tinghir,Drâa-Tafilalet,30.998459,-5.846957,2884975
900,N'khila,Khouribga,Béni Mellal-Khénifra,32.914111,-7.074596,2880019
901,Nador,Nador,Oriental,35.173652,-2.930776,2431056
902,Nagga,Safi,Marrakech-Safi,32.0506,-9.049051,2827808
903,Naima,Jerada,Oriental,34.60386,-2.221212,2502036
904,Naour,Béni Mellal,Béni Mellal-Khénifra,32.464887,-5.954644,2882850
905,Nekkour,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.015291,-3.862083,2440713
906,Nfifa,Chichaoua,Marrakech-Safi,31.239509,-8.864082,2830904
907,Nihit,Taroudant,Souss-Massa,30.313042,-8.517968,3541016
908,Nouaceur,Nouaceur,Casablanca-Settat,33.361771,-7.581543,2523534
909,Nouirate,Sidi Slimane,Rabat-Salé-Kénitra,34.583356,-5.946491,2827071
910,Nzala Bni Ammar,Meknès,Fès-Meknès,34.101383,-5.426569,2813759
911,Nzalat Laadam,Rehamna,Marrakech-Safi,32.066561,-8.065296,2881811
912,Ouad Essafa,Inezgane-Aït Melloul,Souss-Massa,30.213321,-9.353553,2832934
913,Ouahat Sidi Brahim,Marrakech,Marrakech-Safi,31.727367,-7.968364,2824271
914,Ouaklim,Tinghir,Drâa-Tafilalet,31.449126,-5.654565,2887551
915,Oualili,Meknès,Fès-Meknès,34.089719,-5.520244,2561366
916,Oualqadi,Taroudant,Souss-Massa,30.204494,-8.500246,2888913
917,Ouaouizaght,Béni Mellal,Béni Mellal-Khénifra,32.185449,-6.342207,2887173
918,Ouaoula,Azilal,Béni Mellal-Khénifra,31.798365,-6.785562,2887333
919,Ouaoumana,Khénifra,Béni Mellal-Khénifra,32.689323,-5.826739,2826614
920,Ouaouzgane,Taounate,Fès-Meknès,35.035846,-4.568968,2563403
921,Ouargui,El Kelâa des Sraghna,Marrakech-Safi,31.835445,-7.203646,2881886
922,Ouarzazate,Ouarzazate,Drâa-Tafilalet,30.932394,-6.930225,2887639
923,Ouazguita,Al Haouz,Marrakech-Safi,31.259549,-8.077996,3549660
924,Ouazzane,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.797013,-5.578019,2753083
925,Oudka,Taounate,Fès-Meknès,34.693708,-4.862785,2753139
926,Oued Amlil,Taza,Fès-Meknès,34.186024,-4.274327,2758247
927,Oued El Makhazine,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.886293,-5.821122,2753072
928,Oued Ifrane,Khénifra,Béni Mellal-Khénifra,33.124638,-5.299968,2819480
929,Oued Jdida,Meknès,Fès-Meknès,33.938688,-5.389168,2759252
930,Oued Jemaa,Taounate,Fès-Meknès,34.236684,-4.761202,2805336
931,Oued L'Bour,Chichaoua,Marrakech-Safi,31.186273,-8.968562,2830902
932,Oued Lakhdar,El Kelâa des Sraghna,Marrakech-Safi,31.893155,-7.126922,2881933
933,Oued Laou,Tétouan,Tanger-Tétouan-Al Hoceïma,35.456459,-5.118373,2480069
934,Oued Malha,Chefchaouen,Tanger-Tétouan-Al Hoceïma,34.921287,-5.021546,2563410
935,Oued Naam,Errachidia,Drâa-Tafilalet,31.894106,-3.615307,2827115
936,Oued Naanaa,Settat,Casablanca-Settat,32.996174,-7.287208,2879953
937,Oued Zem,Khouribga,Béni Mellal-Khénifra,32.861563,-6.568392,2879699
938,Ouijjane,Tiznit,Souss-Massa,29.661826,-9.566606,2888256
939,Ouirgane,Al Haouz,Marrakech-Safi,31.14818,-8.067444,3535462
940,Ouislane,Meknès,Fès-Meknès,33.914353,-5.479737,2759268
941,Ouisselsate,Ouarzazate,Drâa-Tafilalet,30.514843,-7.185257,2887668
942,Ouizeght,Midelt,Drâa-Tafilalet,32.83799,-4.050152,2817785
943,Oujda,Oujda-Angad,Oriental,34.692849,-1.908909,2527998
944,Oukaimeden,Al Haouz,Marrakech-Safi,31.215463,-7.833769,3535451
945,Oulad Aamer,El Kelâa des Sraghna,Marrakech-Safi,32.074829,-7.186693,2881938
946,Oulad Aamer Tizmarine,Youssoufia,Marrakech-Safi,32.246213,-8.400376,2881800
947,Oulad Aarrad,El Kelâa des Sraghna,Marrakech-Safi,31.834934,-7.40935,5176915
948,Oulad Abbou,Settat,Casablanca-Settat,33.140989,-7.936081,2866430
949,Oulad Abdoune,Khouribga,Béni Mellal-Khénifra,32.854848,-6.927316,2879636
950,Oulad Aissa,El Jadida,Casablanca-Settat,32.924668,-8.681171,2806128
951,Oulad Aissa,Khouribga,Béni Mellal-Khénifra,33.045641,-6.40701,2879816
952,Oulad Ali Mansour,Chefchaouen,Tanger-Tétouan-Al Hoceïma,35.360242,-5.241709,2533873
953,Oulad Ali Toualaa,Benslimane,Casablanca-Settat,33.431,-7.178622,2522580
954,Oulad Ali Youssef,Boulemane,Fès-Meknès,33.415533,-4.008145,2817794
955,Oulad Amer,El Kelâa des Sraghna,Marrakech-Safi,32.447983,-7.229736,2879987
956,Oulad Amghar,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.24363,-3.698626,2428502
957,Oulad Amrane,Youssoufia,Marrakech-Safi,32.370189,-8.539357,2823078
958,Oulad Ayad,Fquih Ben Salah,Béni Mellal-Khénifra,32.200751,-6.799227,2882512
959,Oulad Ayyad,Sefrou,Fès-Meknès,34.093253,-4.659548,2805334
960,Oulad Azzouz,Khouribga,Béni Mellal-Khénifra,32.762465,-6.761147,2879689
961,Oulad Azzouz,Nouaceur,Casablanca-Settat,33.496555,-7.768295,5172318
962,Oulad Ben Hammadi,Sidi Slimane,Rabat-Salé-Kénitra,34.239861,-5.831688,2819631
963,Oulad Berhil,Taroudant,Souss-Massa,30.641325,-8.478567,2890483
964,Oulad Bouali Loued,El Kelâa des Sraghna,Marrakech-Safi,32.124301,-7.202671,2881955
965,Oulad Bouali Nouaja,Khouribga,Béni Mellal-Khénifra,32.626547,-7.078653,2880020
966,Oulad Boubker,Driouch,Oriental,34.784436,-3.395498,2432168
