id,commune,province,region,latitude,longitude,osm_id
30,Aghbar,Taroudant,Souss-Massa,30.911876,-8.493933,3535483
31,Aghouatim,Al Haouz,Marrakech-Safi,31.375211,-7.942429,5177003
32,Aghouinite,Aousserd,Dakhla-Oued Ed-Dahab,22.472411,-13.732572,6054151
33,Aglif,Essaouira,Marrakech-Safi,31.087244,-9.389432,2820913
34,Agoudi N'Lkhair,Azilal,Béni Mellal-Khénifra,31.979971,-6.494068,2887348
35,Agoudim,Midelt,Drâa-Tafilalet,32.376137,-5.036019,2826602
36,Agourai,El Hajeb,Fès-Meknès,33.634925,-5.592601,2808106
37,Aguelmam Azegza,Khénifra,Béni Mellal-Khénifra,32.930806,-5.426845,2875666
38,Aguelmouss,Khénifra,Béni Mellal-Khénifra,33.132785,-5.840773,2826617
39,Aguerd,Essaouira,Marrakech-Safi,31.421454,-9.629902,2820967
40,Aguinane,Tata,Souss-Massa,30.108683,-7.449224,3549670
41,Ahdil,Chichaoua,Marrakech-Safi,31.613788,-8.864272,2821117
42,Ahermoumou,Sefrou,Fès-Meknès,33.817518,-4.418265,2816242
43,Ahfir,Berkane,Oriental,34.953502,-2.097042,2447391
44,Ahl Angad,Oujda-Angad,Oriental,34.692196,-1.849202,2756348
45,Ahl Oued Za,Taourirt,Oriental,34.291714,-2.806737,3551337
46,Ahl Ramel,Chtouka-Aït Baha,Souss-Massa,30.287733,-9.121799,2835895
47,Ahl Sidi Lahcen,Sefrou,Fès-Meknès,33.768974,-4.650138,2808821
48,Ahl Tifnoute,Al Haouz,Marrakech-Safi,30.964141,-7.859331,2888815
49,Ahlaf,Benslimane,Casablanca-Settat,33.27843,-7.08046,2522579
50,Ahmar Laglalcha,Taroudant,Souss-Massa,30.488869,-8.970463,2835916
51,Ain Bida,Fès,Fès-Meknès,33.986698,-4.892569,2805269
52,Ain Blal,Settat,Casablanca-Settat,32.530134,-7.653925,2879968
53,Ain Bni Mathar,Jerada,Oriental,34.018872,-2.026809,2528002
54,Ain Bou Ali,Fès,Fès-Meknès,34.130276,-4.994406,2813704
55,Ain Chair,Figuig,Oriental,32.220611,-2.509739,5955988
56,Ain Cheggag,Fès,Fès-Meknès,33.865829,-5.058957,2808812
57,Ain Chkef,Fès,Fès-Meknès,33.964255,-5.084967,2808796
58,Ain Dfali,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.607712,-5.556266,2755139
59,Ain Dorbane-Lahlaf,Khouribga,Béni Mellal-Khénifra,33.029451,-7.21858,2879952
60,Ain El Aouda,Skhirate-Témara,Rabat-Salé-Kénitra,33.802331,-6.79687,2498871
61,Ain Harrouda,Médiouna,Casablanca-Settat,33.644338,-7.458642,2523556
62,Ain Jemaa,Sidi Kacem,Rabat-Salé-Kénitra,34.07863,-5.784557,2561336
63,Ain Johra-Sidi Boukhalkhal,Kénitra,Rabat-Salé-Kénitra,34.014906,-6.401752,2808221
64,Ain Kaicher,Fquih Ben Salah,Béni Mellal-Khénifra,32.768318,-6.546089,2879709
65,Ain Kansra,Fès,Fès-Meknès,34.112982,-4.845056,2813700
66,Ain Karma-Oued Rommane,Sidi Kacem,Rabat-Salé-Kénitra,34.068824,-5.683235,2813793
67,Ain Lahcen,Tétouan,Tanger-Tétouan-Al Hoceïma,35.561202,-5.5741,2563431
68,Ain Legdah,Taounate,Fès-Meknès,34.170882,-4.566414,2805313
69,Ain Lehjer,Jerada,Oriental,34.498035,-2.477501,2528356
70,Ain Maatouf,Taounate,Fès-Meknès,34.420324,-4.528995,2755009
71,Ain Mediouna,Taounate,Fès-Meknès,34.485574,-4.530098,2753141
72,Ain Sbit,Khemisset,Rabat-Salé-Kénitra,33.490878,-6.475539,2808253
73,Ain Sfa,Oujda-Angad,Oriental,34.763878,-2.13665,2502034
74,Ain Taoujdate,Moulay Yacoub,Fès-Meknès,33.937485,-5.209984,2759246
75,Ain Tazitounte,Chichaoua,Marrakech-Safi,31.108445,-8.882665,2830907
76,Ain Timguenai,Sefrou,Fès-Meknès,33.87166,-4.486947,2816235
77,Ain Tizgha,Benslimane,Casablanca-Settat,33.652277,-7.103308,2522588
78,Ait Aadel,El Kelâa des Sraghna,Marrakech-Safi,31.597512,-7.223717,3535410
79,Ait Abdellah,Chtouka-Aït Baha,Souss-Massa,29.822342,-8.736585,2875703
80,Ait Aissi Ihahane,Agadir-Ida Ou Tanane,Souss-Massa,30.906864,-9.424827,2820892
81,Ait Ali Ou Lahcen,Kénitra,Rabat-Salé-Kénitra,34.030611,-6.494866,5128902
82,Ait Amira,Inezgane-Aït Melloul,Souss-Massa,30.154039,-9.466072,2832937
83,Ait Ammar,Khouribga,Béni Mellal-Khénifra,33.038244,-6.63836,2879651
84,Ait Ayach,Midelt,Drâa-Tafilalet,32.688765,-4.930323,2826601
85,Ait Baha,Chtouka-Aït Baha,Souss-Massa,30.06923,-9.157944,2832991
86,Ait Bazza,Boulemane,Fès-Meknès,33.399054,-4.211951,2817716
87,Ait Belkacem,Khemisset,Rabat-Salé-Kénitra,33.828397,-6.375009,2808235
88,Ait Ben Yacoub,Guigou,Fès-Meknès,33.000263,-4.870296,2826585
89,Ait Blal,Azilal,Béni Mellal-Khénifra,31.677415,-6.699474,2887321
90,Ait Bou Oulli,Azilal,Béni Mellal-Khénifra,31.565143,-6.630486,2887320
91,Ait Boubidmane,El Hajeb,Fès-Meknès,33.850185,-5.332302,2759250
92,Ait Boudaoud,Zagora,Drâa-Tafilalet,30.614227,-5.484947,2884911
93,Ait Boufoulen,Guelmim,Guelmim-Oued Noun,29.237115,-9.741066,2885892
94,Ait Bouyahya El Hajjama,Khemisset,Rabat-Salé-Kénitra,33.875571,-6.298321,2808196
95,Ait Daoud,Essaouira,Marrakech-Safi,31.095239,-9.344891,2820914
96,Ait El Man,Boulemane,Fès-Meknès,33.449287,-4.312285,2817709
97,Ait Erkha,Tiznit,Souss-Massa,29.347223,-9.638013,2888307
98,Ait Faska,Marrakech,Marrakech-Safi,31.541111,-7.69759,3535305
99,Ait Haddou Youssef,Taroudant,Souss-Massa,30.88917,-8.699833,2830920
100,Ait Hadi,Chichaoua,Marrakech-Safi,31.388482,-8.785365,2830947
101,Ait Hammou,Rehamna,Marrakech-Safi,32.21481,-8.249586,2881802
102,Ait Harz Allah,El Hajeb,Fès-Meknès,33.746008,-5.320544,2819548
103,Ait Hkim - Ait Yzid,El Kelâa des Sraghna,Marrakech-Safi,31.480467,-7.210932,3535398
