rang,Commune,Province,Region_std,n_cas,suggestion_referentiel,score_suggestion,cumsum_pct
765,Meghater,Larache,Tanger-Tétouan-Al Hoceïma,1,Sidi Mohamed Lahmar,0.37,89.9438865918488
766,Meghrawa,Taza,Fès-Meknès,1,Maghraoua,0.706,89.95865327820437
767,Mellaha,Settat,Casablanca-Settat,1,Lahouaza,0.533,89.97341996455995
768,Mellaha,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Mallalienne,0.444,89.98818665091554
769,Mellala,Settat,Casablanca-Settat,1,Mniaa,0.5,90.00295333727112
770,Menara,Azilal,Béni Mellal-Khénifra,1,Demnate,0.462,90.0177200236267
771,Menara,Boulemane,Fès-Meknès,1,Ermila,0.333,90.03248670998228
772,Maimouna,Kénitra,Rabat-Salé-Kénitra,1,Ait Malek,0.235,90.04725339633787
773,Hors Province,Settat,Casablanca-Settat,1,Ras Al Ain,0.435,90.06202008269344
774,Houara od rahou,Taza,Fès-Meknès,1,Oulad Bourima,0.5,90.07678676904902
775,Mrabih,Sidi Kacem,Rabat-Salé-Kénitra,1,Bab Tiouka,0.375,90.09155345540461
