region,annee,mois,cas_predits,ci_lower_95,ci_upper_95
Béni Mellal-Khénifra,2033,6,92.44362679213238,73.95911873011285,110.9281348541519
Béni Mellal-Khénifra,2033,7,81.69381541848293,64.368361681681,99.01926915528486
Béni Mellal-Khénifra,2033,8,79.41209342555717,62.36297074276344,96.46121610835091
Béni Mellal-Khénifra,2033,9,91.10554743914392,72.79122098268942,109.41987389559841
Béni Mellal-Khénifra,2033,10,97.12499500387634,78.18470514463577,116.0652848631169
Béni Mellal-Khénifra,2033,11,109.40109059532739,89.2102259836013,129.59195520705347
Béni Mellal-Khénifra,2033,12,112.86356412130478,92.38399501140282,133.34313323120674
Béni Mellal-Khénifra,2034,1,112.88746664904237,92.37402187973478,133.40091141834995
Béni Mellal-Khénifra,2034,2,115.13338944137352,94.41051591395494,135.8562629687921
Béni Mellal-Khénifra,2034,3,120.77048179897642,99.53202575870887,142.00893783924397
Béni Mellal-Khénifra,2034,4,117.45223856988278,96.51882755141406,138.3856495883515
Béni Mellal-Khénifra,2034,5,100.60188134407557,81.27686509326182,119.92689759488931
Béni Mellal-Khénifra,2034,6,92.50098653604768,74.01071213972338,110.99126093237197
Béni Mellal-Khénifra,2034,7,82.18364623364423,64.80708217903299,99.56021028825546
Béni Mellal-Khénifra,2034,8,80.0721630599344,62.94996787919102,97.19435824067777
Béni Mellal-Khénifra,2034,9,91.7465291353946,73.36855207404983,110.12450619673936
Béni Mellal-Khénifra,2034,10,97.22482932183043,78.27785244574136,116.1718061979195
Béni Mellal-Khénifra,2034,11,109.20407873823174,89.03048107437844,129.37767640208506
Béni Mellal-Khénifra,2034,12,113.3991159732175,92.86997872942446,133.92825321701054
Béni Mellal-Khénifra,2035,1,112.73784989951987,92.23847824316569,133.23722155587404
Béni Mellal-Khénifra,2035,2,115.54237451506069,94.78189141445435,136.30285761566702
Béni Mellal-Khénifra,2035,3,120.84954235937055,99.60415253502892,142.0949321837122
Béni Mellal-Khénifra,2035,4,117.8868314603229,96.91363837468752,138.86002454595825
Béni Mellal-Khénifra,2035,5,100.84549865845345,81.49593146952597,120.19506584738093
Béni Mellal-Khénifra,2035,6,92.52578295587955,74.03257284425213,111.01899306750697
Béni Mellal-Khénifra,2035,7,81.70221839864426,64.37567609940724,99.02876069788128
Béni Mellal-Khénifra,2035,8,79.09135442890842,62.07712083046856,96.10558802734828
Béni Mellal-Khénifra,2035,9,90.57620748472364,72.31533703690964,108.83707793253764
Béni Mellal-Khénifra,2035,10,96.95600769521809,78.0327171834271,115.87929820700909
Béni Mellal-Khénifra,2035,11,109.17083222735891,89.00090169950585,129.34076275521198
Béni Mellal-Khénifra,2035,12,112.9211965797345,92.43461930412067,133.40777385534832
