rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
174,Od Ziane,Fquih Ben Salah,2,Oulad Zmam,0.556,Ouled Zidane,0.8,Berrechid,32.516222062004324,
175,Od Tahar,Taounate,2,Oued Jemaa,0.556,Oulad Amghar,0.7,Al Hoceïma,32.66041816870945,
176,Od Soltane,Sidi Kacem,2,Oulad Nouel,0.476,Dar Oum Soltane,0.72,Meknès,32.804614275414565,
177,Od Barkate,Fquih Ben Salah,2,Ouled Bourahmoune,0.444,Oulad Amrane,0.636,Youssoufia,32.94881038211968,
178,"N°6830,Sidi Belkacem",Inezgane-Aït Melloul,2,Sidi Bibi,0.429,Sidi Kacem,0.69,Sidi Kacem,33.0930064888248,
179,Médina,Al Haouz,2,Oukaimeden,0.5,Médiouna,0.857,Nouaceur,33.23720259552992,
180,"My,Bouchta",Taounate,2,Bouhouda,0.556,Moulay Bouchta,0.75,Moulay Yacoub,33.38139870223504,
181,My thami,Ouezzane,2,Masmouda,0.375,Tamri,0.615,Agadir-Ida Ou Tanane,33.525594808940156,
182,Bnisadden,Sefrou,2,Ahl Sidi Lahcen,0.333,Bni Said,0.706,Tétouan,33.66979091564528,
183,Bni wanjel,Taounate,2,Bni Rzine,0.632,Bni Zrantel,0.762,Béni Mellal,33.813987022350396,
184,Bit Ghoulam,Taza,2,Tahla,0.5,Sebt Gzoula,0.727,Safi,33.95818312905551,
185,Mokrisset,Ouezzane,2,Lamrabih,0.353,Moqrisset,0.889,Chefchaouen,34.10237923576064,
186,Mokrissat,Chefchaouen,2,Moqrisset,0.778,Moqrisset,0.778,Chefchaouen,34.24657534246575,
187,Mly Hassan,Tétouan,2,Bni Arouss,0.4,Massa,0.667,Tiznit,34.39077144917087,
188,Mezguitem,Guercif,2,Mazguitam,0.778,Mezguita,0.824,Ouarzazate,34.534967555875994,
189,Mesker,Ouezzane,2,Moulay Abdelkader,0.435,Meskoura,0.714,Khouribga,34.67916366258111,
190,Menara,Taroudant,2,Lamhara,0.615,Mnasra,0.833,Kénitra,34.82335976928623,
191,Menara,Ouarzazate,2,Afra,0.6,Mnasra,0.833,Kénitra,34.96755587599135,
192,Menara,Béni Mellal,2,Naour,0.545,Mnasra,0.833,Kénitra,35.11175198269647,
193,hadkouret,Sidi Kacem,2,Taoughilt,0.444,Had Kourt,0.889,Ouezzane,35.255948089401585,
