rang,Commune,Province,Region_std,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
46,Bourmane,Ouarzazate,Drâa-Tafilalet,23,Toundoute,0.471,Boulemane,0.824,Boulemane,48.07453416149068,
47,S.Y.B.Z,Taounate,Fès-Meknès,23,Sidi Yahya Bni Zeroual,0.276,Isly,0.364,Oujda-Angad,48.43167701863354,
48,S.A.B.B,Azilal,Béni Mellal-Khénifra,23,Aït Abbas,0.125,Sabbah,0.615,Skhirate-Témara,48.7888198757764,
49,Ait idir,Tinghir,Drâa-Tafilalet,23,Aït Hani,0.625,Ait Said,0.75,Essaouira,49.14596273291925,
50,ait tazarine,Tinghir,Drâa-Tafilalet,22,Aït Elfarsi,0.609,Tazarine,0.8,Taza,49.48757763975155,
51,,Essaouira,Marrakech-Safi,22,Zaouiat Ben Hmida,0.0,,0.0,,49.82919254658385,
52,Lbrouj,Settat,Casablanca-Settat,22,Lahouaza,0.429,El Borouj,0.8,Khouribga,50.17080745341615,
53,Hanchène,Essaouira,Marrakech-Safi,22,El Hanchane,0.737,El Hanchane,0.737,Essaouira,50.51242236024845,
54,lakhmiss,Tinghir,Drâa-Tafilalet,22,Souk Lakhmis Dades,0.615,Lakhsas,0.8,Tiznit,50.85403726708075,
55,Ghdira Hamra,Béni Mellal,Béni Mellal-Khénifra,22,Sidi Hammadi,0.583,Al Hamra,0.7,Chefchaouen,51.19565217391305,
56,S.H.M'ed,Taounate,Fès-Meknès,20,Ras El Oued,0.421,Sidi Abed,0.471,El Jadida,51.506211180124225,
57,Tamraght,Agadir-Ida Ou Tanane,Souss-Massa,20,Tadrart,0.667,Tamaguert,0.706,Marrakech,51.816770186335404,
58,Bouachiba,Azilal,Béni Mellal-Khénifra,20,Ouaoula,0.5,Boughriba,0.778,Berkane,52.12732919254658,
59,Kelaa,Ouarzazate,Drâa-Tafilalet,20,Afella N'Dra,0.471,Melaab,0.727,Errachidia,52.43788819875776,
