rang,Commune,Province,Region_std,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
404,Sab,Moulay Yacoub,Fès-Meknès,2,Sidi El Abed,0.4,Sabbah,0.667,Skhirate-Témara,82.14285714285714,
405,Segangan,Nador,Oriental,2,Zeghanghane,0.737,Zeghanghane,0.737,Nador,82.17391304347827,
406,Douar Oulad Mkadem,Guelmim,Guelmim-Oued Noun,2,Aouint Yghomane,0.242,Houara Oulad Raho,0.686,Guercif,82.20496894409938,
407,Douar Chems,Ouarzazate,Drâa-Tafilalet,2,Skoura Ahl El Oust,0.483,Rouached,0.632,Fquih Ben Salah,82.2360248447205,
408,Bencharrou,Béni Mellal,Béni Mellal-Khénifra,2,Naour,0.533,Ben Maachou,0.667,El Jadida,82.26708074534162,
409,bab mrouj,Taza,Fès-Meknès,2,Bab Marzouka,0.762,Bab Marzouka,0.762,Taza,82.29813664596273,
410,chahid baha,Sefrou,Fès-Meknès,2,Ahl Sidi Lahcen,0.538,Ait Baha,0.737,Chtouka-Aït Baha,82.32919254658385,
411,bouzmlane,Taza,Fès-Meknès,2,Bouyablane,0.737,Boulemane,0.778,Boulemane,82.36024844720497,
412,ait boullal,Tinghir,Drâa-Tafilalet,2,Ait Youl,0.737,Ait Ouallal,0.909,Zagora,82.3913043478261,
413,ait boamrane,Tinghir,Drâa-Tafilalet,2,Aït Hani,0.6,Ait Naamane,0.783,El Hajeb,82.4223602484472,
414,ait Attab,Azilal,Béni Mellal-Khénifra,2,Aït Abbas,0.667,Ait Taleb,0.778,Rehamna,82.45341614906832,
415,ain bziz,Meknès,Fès-Meknès,2,Aïn Orma,0.5,Ain Sbit,0.75,Khemisset,82.48447204968944,
416,Ben Yazgha,Sefrou,Fès-Meknès,2,Mtarnagha,0.526,Beni Ftah,0.632,Taza,82.51552795031056,
417,Bel,Sidi Kacem,Rabat-Salé-Kénitra,2,Selfat,0.444,Jbiel,0.75,El Kelâa des Sraghna,82.54658385093168,
418,Barraka,Nador,Oriental,2,Arekmane,0.4,Braksa,0.769,Khouribga,82.5776397515528,
419,Sidi Abdelaziz,Sidi Slimane,Rabat-Salé-Kénitra,2,Sidi Al Kamel,0.593,Sidi Abdeljalil,0.828,Safi,82.6086956521739,
420,"Sidi A,Tadli",Sefrou,Fès-Meknès,2,Ahl Sidi Lahcen,0.444,Sidi Ali,0.8,Zagora,82.63975155279503,
421,Sgangan,Nador,Oriental,2,Zeghanghane,0.667,Sgamna,0.769,Khouribga,82.67080745341615,
422,Skhinat,Fès,Fès-Meknès,2,Ain Bida,0.4,Skhirate,0.8,Skhirate-Témara,82.70186335403727,
423,Alwahda,Taza,Fès-Meknès,2,Tahla,0.5,Lahdar,0.769,Youssoufia,82.73291925465838,
424,Alouhda,Taza,Fès-Meknès,2,Bouchfaa,0.533,Tabouda,0.714,Chefchaouen,82.7639751552795,
425,Sab,Azilal,Béni Mellal-Khénifra,2,Tabia,0.5,Sabbah,0.667,Skhirate-Témara,82.79503105590062,
426,S.Redouane,Sidi Kacem,Rabat-Salé-Kénitra,2,Oulad Nouel,0.476,Sidi Redouane,0.783,Ouezzane,82.82608695652173,
427,S.M.B.L,Taounate,Fès-Meknès,2,Bouadel,0.286,Mibladen,0.4,Midelt,82.85714285714286,
428,El Kassam,Settat,Casablanca-Settat,2,Oulad Saïd,0.421,El Kansera,0.737,Khemisset,82.88819875776397,
429,Draa,Azilal,Béni Mellal-Khénifra,2,Rfala,0.667,Drargua,0.727,Inezgane-Aït Melloul,82.9192546583851,
430,S-A-Ouhamd,Essaouira,Marrakech-Safi,2,Sidi H'Mad Ou Hamed,0.69,Sidi H'Mad Ou Hamed,0.69,Essaouira,82.95031055900621,
431,"S,Fasma",Al Haouz,Marrakech-Safi,2,Sti Fadma,0.625,Sti Fadma,0.625,Al Haouz,82.98136645962732,
432,Ait oum bakht,Béni Mellal,Béni Mellal-Khénifra,2,Ait Ouqabli,0.583,Ait Oum El Bekht,0.828,Khénifra,83.01242236024845,
433,Sebab,Guercif,Oriental,2,Assebbab,0.769,Assebbab,0.769,Guercif,83.04347826086956,
434,Sbab,Guercif,Oriental,2,Assebbab,0.667,Assebbab,0.667,Guercif,83.07453416149069,
435,Ouled Boukhadou,Fquih Ben Salah,Béni Mellal-Khénifra,2,Ouled Bourahmoune,0.75,Oulad Boughadi,0.759,Khouribga,83.1055900621118,
436,Oulad-Tahar,Taounate,Fès-Meknès,2,Oulad Daoud,0.636,Oulad Amghar,0.87,Al Hoceïma,83.13664596273291,
437,RassLoued,Taounate,Fès-Meknès,2,Ras El Oued,0.8,Ras El Oued,0.8,Taounate,83.16770186335404,
438,Ras Alam,Moulay Yacoub,Fès-Meknès,2,Sebt Loudaya,0.2,Ras Al Ain,0.778,Settat,83.19875776397515,
439,Qods1,Taza,Fès-Meknès,2,Oued Amlil,0.267,Adis,0.444,Tata,83.22981366459628,
440,Qods,Taza,Fès-Meknès,2,Oued Amlil,0.286,Adis,0.5,Tata,83.26086956521739,
441,F.Anceur,Béni Mellal,Béni Mellal-Khénifra,2,Foum El Anceur,0.636,Foum El Anceur,0.636,Béni Mellal,83.2919254658385,
442,Ennakhil,Rehamna,Marrakech-Safi,2,Ait Taleb,0.118,Ben Khlil,0.706,Tan-Tan,83.32298136645963,
443,Ennakhil,Al Haouz,Marrakech-Safi,2,Ighil,0.462,Ben Khlil,0.706,Tan-Tan,83.35403726708074,
444,"Q,Industriel",Agadir-Ida Ou Tanane,Souss-Massa,2,Aqesri,0.444,Tindine,0.526,Taroudant,83.38509316770187,
445,Alhaouz,Al Haouz,Marrakech-Safi,2,Tahannaout,0.588,Haouza,0.769,Es-Semara,83.41614906832298,
446,S A Hamd,Essaouira,Marrakech-Safi,2,Sidi H'Mad Ou Hamed,0.593,Ras Ain Rhamna,0.636,Marrakech,83.4472049689441,
447,Ribat Elkher,Sefrou,Fès-Meknès,2,Dar El Hamra,0.5,Mers El Kheir,0.64,Skhirate-Témara,83.47826086956522,
448,S'Rima,Taounate,Fès-Meknès,2,Rghioua,0.462,Rima,0.8,Settat,83.50931677018633,
449,Ouidane,Al Haouz,Marrakech-Safi,2,Ouirgane,0.8,Al Ouidane,0.824,Marrakech,83.54037267080746,
450,Oued elabid,Azilal,Béni Mellal-Khénifra,2,Ouaoula,0.444,Oued Laou,0.7,Tétouan,83.57142857142857,
451,Oued Romman,Meknès,Fès-Meknès,2,Oued Jdida,0.571,Oued Ifrane,0.727,Khénifra,83.6024844720497,
452,Feriata,Béni Mellal,Béni Mellal-Khénifra,2,Boutferda,0.5,Fraita,0.769,El Kelâa des Sraghna,83.63354037267081,
453,Fansseur,Béni Mellal,Béni Mellal-Khénifra,2,Foum El Anceur,0.545,Aousserd,0.625,Aousserd,83.66459627329192,
454,Boukorra,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Kalaat Booqorra,0.522,Bouskoura,0.824,Nouaceur,83.69565217391305,
455,Boukora,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Bni Oual,0.533,Bouskoura,0.875,Nouaceur,83.72670807453416,
456,Bouhmed,Chefchaouen,Tanger-Tétouan-Al Hoceïma,2,Tabouda,0.571,Bouhmame,0.8,Sidi Bennour,83.75776397515529,
457,ighramloulne,Tinghir,Drâa-Tafilalet,2,Aghbalou N'Kerdous,0.533,Ighzrane,0.7,Taza,83.7888198757764,
458,ighramloule,Tinghir,Drâa-Tafilalet,2,Toudgha El Oulia,0.519,Ighzrane,0.632,Taza,83.81987577639751,
459,igheram amazdar,Tinghir,Drâa-Tafilalet,2,Ait Sedrate Sahl Charkia,0.41,M'Saada,0.545,Sidi Slimane,83.85093167701864,
460,ida ouguerd,Essaouira,Marrakech-Safi,2,Aguerd,0.706,Ida Ougoummad,0.75,Al Haouz,83.88198757763975,
461,ibrghoussne,Tinghir,Drâa-Tafilalet,2,Ait Ouassif,0.455,Tighedouine,0.636,Al Haouz,83.91304347826087,
462,iazaneen,Nador,Oriental,2,Iaazzanene,0.778,Iaazzanene,0.778,Nador,83.94409937888199,
463,akdim ait mraou,Tinghir,Drâa-Tafilalet,2,Ait Youl,0.522,Sebt Aït Rahou,0.621,Khemisset,83.9751552795031,
464,akdim,Tinghir,Drâa-Tafilalet,2,Ouaklim,0.667,Aklim,0.8,Berkane,84.00621118012423,
465,ait wahi,Tinghir,Drâa-Tafilalet,2,Aït Hani,0.75,Ait Said,0.75,Essaouira,84.03726708074534,
466,ait ouffi,Tinghir,Drâa-Tafilalet,2,Ait Youl,0.706,Ait Ourir,0.778,Marrakech,84.06832298136646,
467,Beni Gorfet,Larache,Tanger-Tétouan-Al Hoceïma,2,Bni Garfett,0.818,Bni Garfett,0.818,Larache,84.09937888198758,
468,As s charkia,Tinghir,Drâa-Tafilalet,2,Ait Sedrate Sahl Charkia,0.611,Meknassa Acharqia,0.621,Taza,84.1304347826087,
469,As jbel sofla,Tinghir,Drâa-Tafilalet,2,Ait Sedrate Jbel El Soufla,0.667,Ait Sedrate Jbel El Soufla,0.667,Tinghir,84.16149068322981,
470,As Jbel,Tinghir,Drâa-Tafilalet,2,Assoul,0.462,Jbiel,0.667,El Kelâa des Sraghna,84.19254658385093,
471,Arroui,Nador,Oriental,2,Al Aroui,0.714,Azrou,0.727,Ifrane,84.22360248447205,
472,Aoulos,Taroudant,Souss-Massa,2,Aoulouz,0.769,Aoulouz,0.769,Taroudant,84.25465838509317,
473,Ourbiâa,Béni Mellal,Béni Mellal-Khénifra,2,Afourar,0.571,Ourika,0.769,Al Haouz,84.28571428571429,
474,Oum bakht,Béni Mellal,Béni Mellal-Khénifra,2,Oulad M'Barek,0.636,Ait Oum El Bekht,0.64,Khénifra,84.3167701863354,
475,Ghorm Alem,Béni Mellal,Béni Mellal-Khénifra,2,Oulad M'Barek,0.435,Laghoualem,0.7,Benslimane,84.34782608695652,
476,Gfifat,Taroudant,Souss-Massa,2,Freija,0.5,Lagfifat,0.857,Chtouka-Aït Baha,84.37888198757764,
477,Od Barkate,Fquih Ben Salah,Béni Mellal-Khénifra,2,Ouled Bourahmoune,0.444,Oulad Amrane,0.636,Youssoufia,84.40993788819875,
478,Ouald Bder,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Moulay Abdelkader,0.593,Oulad Berhil,0.727,Taroudant,84.44099378881988,
479,Oled Bder,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Moulay Abdelkader,0.538,Ouled Zidane,0.667,Berrechid,84.472049689441,
480,Oel Bousalham,Taounate,Fès-Meknès,2,El Bsabsa,0.636,Moulay Bousselham,0.733,Larache,84.5031055900621,
481,Od Ziane,Fquih Ben Salah,Béni Mellal-Khénifra,2,Oulad Zmam,0.556,Ouled Zidane,0.8,Berrechid,84.53416149068323,
482,Od Tahar,Taounate,Fès-Meknès,2,Oued Jemaa,0.556,Oulad Amghar,0.7,Al Hoceïma,84.56521739130434,
483,Amria 2,Béni Mellal,Béni Mellal-Khénifra,2,Had Bradia,0.471,Lamrija,0.714,Guercif,84.59627329192547,
484,Amria,Béni Mellal,Béni Mellal-Khénifra,2,Had Bradia,0.533,Lamrija,0.833,Guercif,84.62732919254658,
485,Mokrissat,Chefchaouen,Tanger-Tétouan-Al Hoceïma,2,Moqrisset,0.778,Moqrisset,0.778,Chefchaouen,84.6583850931677,
486,Mly Hassan,Tétouan,Tanger-Tétouan-Al Hoceïma,2,Bni Arouss,0.4,Massa,0.667,Tiznit,84.68944099378882,
487,Mezguitem,Guercif,Oriental,2,Mazguitam,0.778,Mezguita,0.824,Ouarzazate,84.72049689440993,
488,My thami,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Masmouda,0.375,Tamri,0.615,Agadir-Ida Ou Tanane,84.75155279503106,
489,"N°6830,Sidi Belkacem",Inezgane-Aït Melloul,Souss-Massa,2,Sidi Bibi,0.429,Sidi Kacem,0.69,Sidi Kacem,84.78260869565217,
490,Médina,Al Haouz,Marrakech-Safi,2,Oukaimeden,0.5,Médiouna,0.857,Nouaceur,84.8136645962733,
491,Fersiou,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Teroual,0.571,Tafersit,0.667,Driouch,84.84472049689441,
492,Hamria,Moulay Yacoub,Fès-Meknès,2,Charqaoua,0.533,Lamrija,0.769,Guercif,84.87577639751552,
493,"My,Bouchta",Taounate,Fès-Meknès,2,Bouhouda,0.556,Moulay Bouchta,0.75,Moulay Yacoub,84.90683229813665,
494,Od Soltane,Sidi Kacem,Rabat-Salé-Kénitra,2,Oulad Nouel,0.476,Dar Oum Soltane,0.72,Meknès,84.93788819875776,
495,Od Mbark,Béni Mellal,Béni Mellal-Khénifra,2,Oulad M'Barek,0.762,Oulad M'Barek,0.762,Béni Mellal,84.96894409937889,
496,B.hadifa,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Bni Hadifa,0.778,Bni Hadifa,0.778,Al Hoceïma,85.0,
497,Guèliz,Tinghir,Drâa-Tafilalet,2,Ouaklim,0.462,Guelmim,0.769,Guelmim,85.03105590062111,
498,Meknassa,Taza,Fès-Meknès,2,Meknassa Acharqia,0.64,Massa,0.769,Tiznit,85.06211180124224,
499,Meghasseine,Meknès,Fès-Meknès,2,Mrhassiyine,0.727,Mrhassiyine,0.727,Meknès,85.09316770186335,
500,Medina,El Kelâa des Sraghna,Marrakech-Safi,2,Hiadna,0.5,Médiouna,0.857,Nouaceur,85.12422360248448,
501,Mazrawa,Taounate,Fès-Meknès,2,Mezraoua,0.667,Smara,0.667,Es-Semara,85.15527950310559,
502,khmiss DADES,Tinghir,Drâa-Tafilalet,2,Souk Lakhmis Dades,0.733,Souk Lakhmis Dades,0.733,Tinghir,85.1863354037267,
503,Aait adel,Al Haouz,Marrakech-Safi,2,Sti Fadma,0.444,Ait Aadel,0.889,El Kelâa des Sraghna,85.21739130434783,
504,my bouchta,Taounate,Fès-Meknès,2,Bni Bouchibet,0.609,Moulay Bouchta,0.833,Moulay Yacoub,85.24844720496894,
505,mezguitem,Guercif,Oriental,2,Mazguitam,0.778,Mezguita,0.824,Ouarzazate,85.27950310559007,
506,merna,Tinghir,Drâa-Tafilalet,2,Imider,0.545,Merija,0.727,Jerada,85.31055900621118,
507,mecheraa laine,Taroudant,Souss-Massa,2,Machraa El Ain,0.786,Machraa El Ain,0.786,Taroudant,85.3416149068323,
508,magaz kelaa,Tinghir,Drâa-Tafilalet,2,Aït Elfarsi,0.455,Melaab,0.588,Errachidia,85.37267080745342,
509,boumardoul,Tinghir,Drâa-Tafilalet,2,Bou Azmou,0.632,Bouarouss,0.737,Taounate,85.40372670807453,
510,bouchair,Settat,Casablanca-Settat,2,Oulad Sghir,0.526,Bouqachmir,0.778,Khemisset,85.43478260869566,
511,bni enssar,Nador,Oriental,2,Beni Ansar,0.8,Beni Ansar,0.8,Nador,85.46583850931677,
512,hanchen,Essaouira,Marrakech-Safi,2,El Hanchane,0.667,Khnichet,0.667,Sidi Kacem,85.4968944099379,
513,hadkouret,Sidi Kacem,Rabat-Salé-Kénitra,2,Taoughilt,0.444,Had Kourt,0.889,Ouezzane,85.527950310559,
514,Boukourra,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Kalaat Booqorra,0.5,Bouskoura,0.889,Nouaceur,85.55900621118012,
515,Mesker,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Moulay Abdelkader,0.435,Meskoura,0.714,Khouribga,85.59006211180125,
516,Menara,Taroudant,Souss-Massa,2,Lamhara,0.615,Mnasra,0.833,Kénitra,85.62111801242236,
517,Menara,Ouarzazate,Drâa-Tafilalet,2,Afra,0.6,Mnasra,0.833,Kénitra,85.65217391304348,
518,Menara,Béni Mellal,Béni Mellal-Khénifra,2,Naour,0.545,Mnasra,0.833,Kénitra,85.6832298136646,
519,Mokrisset,Ouezzane,Tanger-Tétouan-Al Hoceïma,2,Lamrabih,0.353,Moqrisset,0.889,Chefchaouen,85.71428571428571,
520,M.Bmellal,Béni Mellal,Béni Mellal-Khénifra,2,Beni Mellal,0.7,Beni Mellal,0.7,Béni Mellal,85.74534161490683,
521,B'sabsa,Taounate,Fès-Meknès,2,El Bsabsa,0.75,El Bsabsa,0.75,Taounate,85.77639751552795,
522,B'Sabsa,Taounate,Fès-Meknès,2,El Bsabsa,0.75,El Bsabsa,0.75,Taounate,85.80745341614907,
523,B S jbel,Nador,Oriental,2,Bni Sidel Jbel,0.727,Bni Sidel Jbel,0.727,Nador,85.83850931677019,
524,Hay Elmohammadi,Agadir-Ida Ou Tanane,Souss-Massa,2,Agadir,0.381,Mohammédia,0.64,Mohammedia,85.8695652173913,
525,B.bouayach II,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Bni Bouayach,0.72,Bni Bouayach,0.72,Al Hoceïma,85.90062111801242,
526,B.S. louta,Nador,Oriental,2,Bni Sidel Louta,0.64,Louta,0.667,Al Hoceïma,85.93167701863354,
527,Marjane,Meknès,Fès-Meknès,2,Majjate,0.714,Zemrane,0.714,El Kelâa des Sraghna,85.96273291925466,
528,Marinienne,Fès,Fès-Meknès,2,Ain Bida,0.444,Mallalienne,0.667,Tétouan,85.99378881987577,
529,Marigha,Al Haouz,Marrakech-Safi,2,Amghras,0.571,Mtarnagha,0.75,Sefrou,86.0248447204969,
530,Marenienne,Fès,Fès-Meknès,2,Louadaine,0.421,Mallalienne,0.667,Tétouan,86.05590062111801,
531,Laamoucha,Settat,Casablanca-Settat,2,Lahouaza,0.588,Laaouama,0.706,Tanger-Assilah,86.08695652173913,
532,Krona,Driouch,Oriental,2,Ourdana,0.5,Tekna,0.6,Sidi Kacem,86.11801242236025,
533,Krakra,Settat,Casablanca-Settat,2,Rima,0.4,Hrara,0.727,Safi,86.14906832298136,
534,Kolea,Inezgane-Aït Melloul,Souss-Massa,2,Ouled Teima,0.5,Boulemane,0.571,Boulemane,86.18012422360249,
535,Koka si Moussa,Settat,Casablanca-Settat,2,Zaouiat Sidi Ben Hamdoun,0.474,Sidi Moussa,0.72,El Kelâa des Sraghna,86.2111801242236,
536,Lkrakra,Settat,Casablanca-Settat,2,Oulad Freiha,0.316,Laqraqra,0.667,Fquih Ben Salah,86.24223602484471,
537,Lkhmis,Tinghir,Drâa-Tafilalet,2,Tilmi,0.545,Khémisset,0.667,Khemisset,86.27329192546584,
538,Bni wanjel,Taounate,Fès-Meknès,2,Bni Rzine,0.632,Bni Zrantel,0.762,Béni Mellal,86.30434782608695,
539,Bit Ghoulam,Taza,Fès-Meknès,2,Tahla,0.5,Sebt Gzoula,0.727,Safi,86.33540372670808,
540,tansghart,Tinghir,Drâa-Tafilalet,2,Tinghir,0.625,Tanougha,0.706,Béni Mellal,86.36645962732919,
541,sidi h o hamd,Essaouira,Marrakech-Safi,2,Sidi H'Mad Ou Hamed,0.812,Sidi H'Mad Ou Hamed,0.812,Essaouira,86.3975155279503,
542,sidi ahmed tadli,Sefrou,Fès-Meknès,2,Sidi Youssef Ben Ahmed,0.526,Sidi Ahmed El Khadir,0.778,El Kelâa des Sraghna,86.42857142857143,
543,,Larache,Tanger-Tétouan-Al Hoceïma,2,Zouada,0.0,,0.0,,86.45962732919254,
544,hay salam kelaa,Tinghir,Drâa-Tafilalet,2,Ait Sedrate Sahl El Gharbia,0.476,Had Al Gharbia,0.483,Tanger-Assilah,86.49068322981367,
545,A.taourirt,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Arbaa Taourirt,0.75,Taourirt,0.889,Taourirt,86.52173913043478,
546,A.mediouna,Taounate,Fès-Meknès,2,Ain Mediouna,0.818,Médiouna,0.889,Nouaceur,86.5527950310559,
547,kelaa,Ouarzazate,Drâa-Tafilalet,2,Afella N'Dra,0.471,Melaab,0.727,Errachidia,86.58385093167702,
548,"k,militaire",Taza,Fès-Meknès,2,Msila,0.5,Mzilate,0.556,Chichaoua,86.61490683229813,
549,khmiss dadaes,Tinghir,Drâa-Tafilalet,2,Souk Lakhmis Dades,0.71,Souk Lakhmis Dades,0.71,Tinghir,86.64596273291926,
550,B.Hmed,Chefchaouen,Tanger-Tétouan-Al Hoceïma,2,Bni Ahmed Gharbia,0.435,Ben Ahmed,0.667,Khouribga,86.67701863354037,
551,Igraouen,Khouribga,Béni Mellal-Khénifra,2,Mrizigue,0.5,Imaouen,0.8,Taroudant,86.7080745341615,
552,Lakmis,Tinghir,Drâa-Tafilalet,2,Tilmi,0.545,Lamssid,0.615,Boujdour,86.73913043478261,
553,Azlaf,Driouch,Oriental,2,Tleta Azlef,0.5,Azla,0.889,Tétouan,86.77018633540372,
554,M'kanssa,Taounate,Fès-Meknès,2,Kissane,0.533,Mkansa,0.857,Sidi Kacem,86.80124223602485,
555,M kellat magouna,Tinghir,Drâa-Tafilalet,2,Kalaat M'Gouna,0.733,Kalaat M'Gouna,0.733,Tinghir,86.83229813664596,
556,tarmoucht,Tinghir,Drâa-Tafilalet,2,Bou Azmou,0.444,Tabaroucht,0.842,Béni Mellal,86.86335403726709,
557,Jiyarin,Taza,Fès-Meknès,2,Jbarna,0.615,Bni Yagrine,0.667,Settat,86.8944099378882,
558,B.Boufrah,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Bni Boufrah,0.8,Bni Boufrah,0.8,Al Hoceïma,86.92546583850931,
559,B.Bch,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,2,Bni Bouayach,0.471,Sabbah,0.545,Skhirate-Témara,86.95652173913044,
560,tissli,Tinghir,Drâa-Tafilalet,2,Tilmi,0.727,Tissint,0.769,Tata,86.98757763975155,
561,zouagha,Fès,Fès-Meknès,2,Louadaine,0.5,Ounagha,0.857,Essaouira,87.01863354037268,
562,,,Fès-Meknès,2,,0.0,,0.0,,87.04968944099379,
563,tigoudar,Essaouira,Marrakech-Safi,2,Lagdadra,0.5,Tigouga,0.8,Taroudant,87.0807453416149,
564,tlat boubker,Driouch,Oriental,2,Oulad Boubker,0.8,Oulad Boubker,0.8,Driouch,87.11180124223603,
565,"A, kansara",Moulay Yacoub,Fès-Meknès,2,Laajajra,0.556,Ain Kansra,0.8,Fès,87.14285714285714,
566,tibihite,Béni Mellal,Béni Mellal-Khénifra,2,Tilougguite,0.526,Tighirt,0.667,Tiznit,87.17391304347827,
567,A chefk,Al Haouz,Marrakech-Safi,2,Ahl Tifnoute,0.316,Ain Chkef,0.75,Fès,87.20496894409938,
568,tazzakht,Tinghir,Drâa-Tafilalet,2,Outerbat,0.375,Taznakht,0.875,Ouarzazate,87.2360248447205,
569,A S gbel sofla,Tinghir,Drâa-Tafilalet,1,Ait Sedrate Jbel El Soufla,0.65,Ait Sedrate Jbel El Soufla,0.65,Tinghir,87.25155279503106,
570,,Tiznit,Souss-Massa,1,Tnine Aglou,0.0,,0.0,,87.26708074534162,
571,,Taroudant,Souss-Massa,1,Zaouia Sidi Tahar,0.0,,0.0,,87.28260869565217,
572,***,Taourirt,Oriental,1,Taourirt,0.0,Zrizer,0.0,Taounate,87.29813664596273,
573,15 Gar,Taza,Fès-Meknès,1,Ras Laksar,0.375,M'Garto,0.615,Khouribga,87.3136645962733,
574,,Boulemane,Fès-Meknès,1,Talzemt,0.0,,0.0,,87.32919254658385,
575,,Rehamna,Marrakech-Safi,1,Tamda,0.0,,0.0,,87.34472049689441,
576,,Safi,Marrakech-Safi,1,Talmest,0.0,,0.0,,87.36024844720497,
577,,Sefrou,Fès-Meknès,1,Tazouta,0.0,,0.0,,87.37577639751552,
578,,Sidi Kacem,Rabat-Salé-Kénitra,1,Zirara,0.0,,0.0,,87.3913043478261,
579,Beni guerfet,Larache,Tanger-Tétouan-Al Hoceïma,1,Bni Garfett,0.783,Bni Garfett,0.783,Larache,87.40683229813665,
580,Beni-Kissane,Taounate,Fès-Meknès,1,Kissane,0.737,Bni Hassane,0.783,Azilal,87.4223602484472,
581,Beni-Ounjel,Taounate,Fès-Meknès,1,Bni Oulid,0.7,Bni Oual,0.737,Ouezzane,87.43788819875776,
582,Bensergao,Azilal,Béni Mellal-Khénifra,1,Demnate,0.375,El Kansera,0.632,Khemisset,87.45341614906832,
583,Bensheikh,Al Haouz,Marrakech-Safi,1,Ouneine,0.375,Beni Chiker,0.6,Nador,87.46894409937889,
584,6éme BSI,Taza,Fès-Meknès,1,Msila,0.462,Mesti,0.615,Sidi Ifni,87.48447204968944,
585,zayo,Nador,Oriental,1,Zaïo,0.75,Zaïo,0.75,Nador,87.5,
586,tasouite,Tinghir,Drâa-Tafilalet,1,Assoul,0.571,Tagounite,0.824,Zagora,87.51552795031056,
587,tassouit,Tinghir,Drâa-Tafilalet,1,Assoul,0.714,Tassousfi,0.824,Tata,87.53105590062111,
588,taynza,Tinghir,Drâa-Tafilalet,1,Tinejdad,0.286,Taza,0.8,Taza,87.54658385093168,
589,tazakhte,Tinghir,Drâa-Tafilalet,1,Taghzoute N'Ait Atta,0.357,Taznakht,0.875,Ouarzazate,87.56211180124224,
590,tazintest,Taroudant,Souss-Massa,1,Tizi N'Test,0.8,Tizi N'Test,0.8,Taroudant,87.5776397515528,
591,B.Bchir,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Chakran,0.429,Beni Bechir,0.667,Taounate,87.59316770186335,
592,B.Bouayach II,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Bni Bouayach,0.72,Bni Bouayach,0.72,Al Hoceïma,87.6086956521739,
593,B.Bouchibat,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Boudinar,0.526,Bni Bouchibet,0.75,Taounate,87.62422360248448,
594,B.Bouyafroun,Nador,Oriental,1,Bni Bouifrou,0.667,Bouarouss,0.667,Taounate,87.63975155279503,
595,B.Elain,Chefchaouen,Tanger-Tétouan-Al Hoceïma,1,Bni Selmane,0.556,Belfaa,0.615,Chtouka-Aït Baha,87.65527950310559,
596,Kalaa Magoune,Ouarzazate,Drâa-Tafilalet,1,Amerzgane,0.364,Kalaat M'Gouna,0.815,Tinghir,87.67080745341615,
597,Kalaa Sraghna,El Kelâa des Sraghna,Marrakech-Safi,1,El Kelâat Es-Sraghna,0.727,El Kelâat Es-Sraghna,0.727,El Kelâa des Sraghna,87.6863354037267,
598,Kalaa-Ourache,Taounate,Fès-Meknès,1,Abdelghaya Souahel,0.645,Larache,0.7,Larache,87.70186335403727,
599,Jamat sidi ghayat,Al Haouz,Marrakech-Safi,1,Sidi Badhaj,0.5,Zaouiat Sidi Hamza,0.686,Midelt,87.71739130434783,
600,Jemeât old mimoun,Moulay Yacoub,Fès-Meknès,1,Oulad Mimoun,0.621,Oulad Mimoun,0.621,Moulay Yacoub,87.73291925465838,
601,Jerf lmlha,Sidi Kacem,Rabat-Salé-Kénitra,1,Ain Jemaa,0.421,Jorf El Melha,0.783,Ouezzane,87.74844720496894,
602,Jida,Tinghir,Drâa-Tafilalet,1,Tinejdad,0.5,Jaidate,0.727,Marrakech,87.7639751552795,
603,Jiha-Soufla,Taounate,Fès-Meknès,1,Thar Es-Souk,0.522,Toudgha Essoufla,0.667,Tinghir,87.77950310559007,
604,Jnan Ward,Fès,Fès-Meknès,1,Ain Kansra,0.421,Ain Harrouda,0.571,Médiouna,87.79503105590062,
605,Jnan kastiyine,Larache,Tanger-Tétouan-Al Hoceïma,1,Ksar el-Kebir,0.296,Mrhassiyine,0.56,Meknès,87.81055900621118,
606,Jnan nokbi,Fès,Fès-Meknès,1,Ain Bida,0.556,Jnane Bouih,0.667,Youssoufia,87.82608695652173,
607,"B,chiker",Nador,Oriental,1,Beni Chiker,0.737,Beni Chiker,0.737,Nador,87.8416149068323,
608,Ikhourba,Béni Mellal,Béni Mellal-Khénifra,1,Afourar,0.533,Khouribga,0.824,Khouribga,87.85714285714286,
