rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
214,Medina,Al Haouz,3,Oukaimeden,0.5,Médiouna,0.857,Nouaceur,51.533742331288344,
215,MunicipalitéBM,Béni Mellal,3,Tilougguite,0.32,Bni Tadjite,0.48,Errachidia,51.64200649584988,
216,Municipalité,Nador,3,Beni Chiker,0.435,Mzilate,0.526,Chichaoua,51.7502706604114,
217,Menara,Tinghir,3,Imider,0.5,Mnasra,0.833,Kénitra,51.858534824972935,
218,Od Youssef,Settat,3,Guisser,0.471,Ouled Youssef,0.87,Fquih Ben Salah,51.96679898953447,
219,My Idriss,Meknès,3,Moulay Idriss Zarhoun,0.6,Moulay Idriss Zarhoun,0.6,Meknès,52.07506315409599,
220,Oued Laabid,Azilal,3,Agoudi N'Lkhair,0.538,Oued Naam,0.7,Errachidia,52.183327318657525,
221,ait slimane,Tinghir,3,Aït Hani,0.632,Sidi Slimane,0.783,Sidi Slimane,52.29159148321906,
222,b.chiker,Nador,3,Beni Chiker,0.737,Beni Chiker,0.737,Nador,52.39985564778058,
223,ait s jbel,Tinghir,3,Ait Sedrate Jbel El Oulia,0.571,Bni Sidel Jbel,0.667,Nador,52.508119812342116,
224,boumalne k,Tinghir,3,Boumalne Dadès,0.75,Boumalne Dadès,0.75,Tinghir,52.61638397690364,
225,berraka,Nador,3,Hassi Berkane,0.5,Braksa,0.769,Khouribga,52.724648141465174,
226,Mansoura,Chefchaouen,3,Bni Mansour,0.737,Mançoura,0.875,Taounate,52.83291230602671,
227,Lalla Aicha,Sidi Kacem,3,Bab Tiouka,0.19,Laagagcha,0.7,Sidi Bennour,52.94117647058823,
228,"M,Bouchta",Taounate,3,Bouhouda,0.588,Bouchfaa,0.706,Taza,53.049440635149764,
229,Barraca,Nador,3,Bouarg,0.462,Brachoua,0.667,Skhirate-Témara,53.1577047997113,
230,A. taourirt,Al Hoceïma,3,Arbaa Taourirt,0.8,Taourirt,0.842,Taourirt,53.26596896427282,
231,Tibihite,Béni Mellal,3,Tilougguite,0.526,Tighirt,0.667,Tiznit,53.374233128834355,
232,S.Kacem,Sidi Kacem,3,Sidi Kacem,0.706,Sidi Kacem,0.706,Sidi Kacem,53.48249729339589,
233,agouidir,Chichaoua,3,Ighoud,0.571,Agoudim,0.8,Midelt,53.59076145795741,
234,Sidi A Tadeli,Sefrou,3,Ahl Sidi Lahcen,0.5,Sidi Al Kamel,0.769,Sidi Slimane,53.699025622518946,
235,Sidi Ahmed Bouheddane,Ouezzane,3,Sidi Redouane,0.706,Sidi Ahmed Ou Amar,0.718,Taroudant,53.80728978708048,
236,Sekoura,Sefrou,3,Sefrou,0.615,Meskoura,0.8,Khouribga,53.915553951642,
237,Senhaja,Sefrou,3,Dar El Hamra,0.421,Senada,0.769,Al Hoceïma,54.023818116203536,
238,Bouazier,Azilal,3,Bin El Ouidane,0.455,Bouarg,0.714,Nador,54.13208228076507,
239,Si a ben brahim,Azilal,3,Aït Abbas,0.5,Si Hsaien Ben Abderrahmane,0.683,El Jadida,54.240346445326594,
240,Bouargane,Agadir-Ida Ou Tanane,3,Imsouane,0.588,Ouirgane,0.824,Al Haouz,54.34861060988813,
241,Slilou,Tinghir,3,Assoul,0.5,Smimou,0.667,Essaouira,54.45687477444966,
242,Beni Gorfat,Larache,3,Bni Garfett,0.727,Bni Garfett,0.727,Larache,54.565138939011185,
243,Walili,Meknès,3,Oualili,0.769,Talilit,0.769,Driouch,54.67340310357272,
