rang,Commune,Province,Region_std,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,CONFIRME_MANQUANT_REFERENTIEL,DECISION_HUMAINE
99,Tizqui,Azilal,Béni Mellal-Khénifra,8,Tisqi,0.727,Tisqi,0.727,Azilal,53.806156405990016,False,
100,Ouad Elbour,Chichaoua,Marrakech-Safi,8,Oued L'Bour,0.818,Oued L'Bour,0.818,Chichaoua,53.97254575707155,False,
101,"Od, Naceur",Fquih Ben Salah,Béni Mellal-Khénifra,8,Oulad Nacer,0.762,Oulad Nacer,0.762,Fquih Ben Salah,54.13893510815308,False,
102,Zaouia,Sidi Kacem,Rabat-Salé-Kénitra,8,Zaggota,0.615,Mzoudia,0.769,Chichaoua,54.30532445923461,False,
103,Ait Idir,Tinghir,Drâa-Tafilalet,8,Aït Hani,0.625,Ait Said,0.75,Essaouira,54.47171381031614,False,
104,Assg,Tinghir,Drâa-Tafilalet,8,Assoul,0.6,Assa,0.75,Assa-Zag,54.63810316139767,False,
105,Beni hassen,Azilal,Béni Mellal-Khénifra,8,Bni Hassane,0.818,Bni Hassane,0.818,Azilal,54.8044925124792,False,
106,S K,Sidi Kacem,Rabat-Salé-Kénitra,8,Sidi Kacem,0.462,Saka,0.571,Guercif,54.970881863560734,False,
107,El Kelaa,El Kelâa des Sraghna,Marrakech-Safi,8,El Aamria,0.588,Hel Merbaa,0.667,Fquih Ben Salah,55.13727121464226,False,
108,Ighilnoumgoune,Tinghir,Drâa-Tafilalet,7,Ikniouen,0.455,Ighil N'Oumgoun,0.897,Azilal,55.282861896838604,False,
109,Hsseya,Tinghir,Drâa-Tafilalet,7,Toudgha Essoufla,0.364,H'Ssyia,0.769,Zagora,55.42845257903494,False,
110,Beni sadden,Sefrou,Fès-Meknès,7,Aït Seghrouchen,0.154,Bni Said,0.737,Tétouan,55.57404326123128,False,
111,imzilne,Tinghir,Drâa-Tafilalet,7,Imider,0.615,Idmine,0.769,Agadir-Ida Ou Tanane,55.719633943427624,False,
112,tabrkhachte,Tinghir,Drâa-Tafilalet,7,Souk Lakhmis Dades,0.345,Tamchachate,0.727,El Hajeb,55.86522462562396,False,
113,lbrouj,Settat,Casablanca-Settat,7,Lahouaza,0.429,El Borouj,0.8,Khouribga,56.0108153078203,False,
114,,Al Haouz,Marrakech-Safi,7,Zerkten,0.0,,0.0,,56.15640599001664,False,
115,Bab Wandar,Taounate,Fès-Meknès,7,Jbabra,0.5,Bab Taza,0.667,Chefchaouen,56.30199667221298,False,
116,Sebbab,Taza,Fès-Meknès,7,Smià,0.4,Assebbab,0.857,Guercif,56.447587354409315,False,
117,hanchan,Essaouira,Marrakech-Safi,7,El Hanchane,0.778,El Hanchane,0.778,Essaouira,56.59317803660566,False,
118,ait yassine,Tinghir,Drâa-Tafilalet,7,Ait Ouassif,0.727,Ait Yadine,0.857,Khemisset,56.738768718802,False,
119,Lakhmiss Dadès,Ouarzazate,Drâa-Tafilalet,7,Ghassate,0.455,Souk Lakhmis Dades,0.812,Tinghir,56.884359400998335,False,
120,"Q,militaire",Taza,Fès-Meknès,7,Msila,0.5,Mzilate,0.556,Chichaoua,57.02995008319468,False,
121,S Y B Z,Taounate,Fès-Meknès,7,Sidi Yahya Bni Zeroual,0.483,Sidi Yahya Bni Zeroual,0.483,Taounate,57.17554076539101,False,
122,Menara,Al Haouz,Marrakech-Safi,7,Amghras,0.462,Mnasra,0.833,Kénitra,57.321131447587355,False,
123,Tikiouine,Agadir-Ida Ou Tanane,Souss-Massa,7,Imsouane,0.588,Tizounine,0.778,Tata,57.46672212978369,False,
124,Dar kebdani,Nador,Oriental,7,Arekmane,0.526,Dar El Kebdani,0.88,Driouch,57.61231281198003,False,
125,Somaa,Béni Mellal,Béni Mellal-Khénifra,7,Oulad Gnaou,0.375,Smara,0.8,Es-Semara,57.757903494176375,False,
126,Chtioui,Fquih Ben Salah,Béni Mellal-Khénifra,7,Bni Oukil,0.5,Tiouli,0.769,Jerada,57.90349417637271,False,
127,A S Jbel sofla,Tinghir,Drâa-Tafilalet,6,Ait Sedrate Jbel El Soufla,0.7,Ait Sedrate Jbel El Soufla,0.7,Tinghir,58.02828618968386,False,
128,"A,chefk",Al Haouz,Marrakech-Safi,6,Ahl Tifnoute,0.316,Tancherfi,0.625,Jerada,58.15307820299501,False,
129,amajaw,Driouch,Oriental,6,Amejjaou,0.571,Majjat,0.667,Chichaoua,58.277870216306155,False,
130,slilou,Tinghir,Drâa-Tafilalet,6,Assoul,0.5,Smimou,0.667,Essaouira,58.402662229617306,False,
131,"s,redouane",Ouezzane,Tanger-Tétouan-Al Hoceïma,6,Sidi Redouane,0.783,Sidi Redouane,0.783,Ouezzane,58.52745424292845,False,
132,Ait Idir,Ouarzazate,Drâa-Tafilalet,6,Ait Oumdis,0.667,Ait Said,0.75,Essaouira,58.6522462562396,False,
133,"S,Redoune",Ouezzane,Tanger-Tétouan-Al Hoceïma,6,Sidi Redouane,0.727,Sidi Redouane,0.727,Ouezzane,58.77703826955075,False,
134,Tizentest,Taroudant,Souss-Massa,6,Tizi N'Test,0.8,Tizi N'Test,0.8,Taroudant,58.901830282861894,False,
135,Sk,Sidi Kacem,Rabat-Salé-Kénitra,6,Sidi Kacem,0.333,Saka,0.667,Guercif,59.026622296173045,False,
