province,region,annee,mois,cas_predits,ci_lower_95,ci_upper_95
Agadir-Ida Ou Tanane,Souss-Massa,2040,6,0.3148745884274706,0.0,0.9029980242992856
Agadir-Ida Ou Tanane,Souss-Massa,2040,7,0.3176153852556489,0.0,0.9084688889796395
Agadir-Ida Ou Tanane,Souss-Massa,2040,8,0.3131643173770719,0.0,0.8995835786775941
Agadir-Ida Ou Tanane,Souss-Massa,2040,9,0.31516443915687037,0.0,0.9035765623865388
Agadir-Ida Ou Tanane,Souss-Massa,2040,10,0.3179142682362456,0.0,0.9090647560262642
Agadir-Ida Ou Tanane,Souss-Massa,2040,11,0.3115147801779127,0.0,0.8962845521914986
Agadir-Ida Ou Tanane,Souss-Massa,2040,12,0.3143585138141006,0.0,0.9019692216240303
Agadir-Ida Ou Tanane,Souss-Massa,2041,1,0.31240100954753053,0.0,0.8980571474814609
Agadir-Ida Ou Tanane,Souss-Massa,2041,2,0.30988193109171214,0.0,0.8930163098443468
Agadir-Ida Ou Tanane,Souss-Massa,2041,3,0.3122494734739415,0.0,0.8977543548351449
Agadir-Ida Ou Tanane,Souss-Massa,2041,4,0.3225117711157964,0.0,0.9182076907708259
Agadir-Ida Ou Tanane,Souss-Massa,2041,5,0.3175687035933087,0.0,0.9083744434370202
Agadir-Ida Ou Tanane,Souss-Massa,2041,6,0.3148996822517526,0.0,0.9030480979057495
Agadir-Ida Ou Tanane,Souss-Massa,2041,7,0.31624540126992906,0.0,0.9057356223886872
Agadir-Ida Ou Tanane,Souss-Massa,2041,8,0.3131643173770719,0.0,0.8995835786775941
Agadir-Ida Ou Tanane,Souss-Massa,2041,9,0.31519145939944543,0.0,0.9036305157004785
Agadir-Ida Ou Tanane,Souss-Massa,2041,10,0.3179142682362456,0.0,0.9090647560262642
Agadir-Ida Ou Tanane,Souss-Massa,2041,11,0.31150882425542603,0.0,0.8962726504938654
Agadir-Ida Ou Tanane,Souss-Massa,2041,12,0.3143453611970941,0.0,0.9019429174545693
Agadir-Ida Ou Tanane,Souss-Massa,2042,1,0.31234569161215603,0.0,0.8979467191353532
Agadir-Ida Ou Tanane,Souss-Massa,2042,2,0.3098916492001601,0.0,0.8930357427990677
Agadir-Ida Ou Tanane,Souss-Massa,2042,3,0.3122965304316358,0.0,0.8978484487156557
Agadir-Ida Ou Tanane,Souss-Massa,2042,4,0.32241094747720345,0.0,0.9180071051164725
Agadir-Ida Ou Tanane,Souss-Massa,2042,5,0.3175687035933087,0.0,0.9083744434370202
Agadir-Ida Ou Tanane,Souss-Massa,2042,6,0.3148996822517526,0.0,0.9030480979057495
Agadir-Ida Ou Tanane,Souss-Massa,2042,7,0.31651034168023434,0.0,0.9062645346718348
Agadir-Ida Ou Tanane,Souss-Massa,2042,8,0.3131643173770719,0.0,0.8995835786775941
Agadir-Ida Ou Tanane,Souss-Massa,2042,9,0.3152322030201144,0.0,0.9037118605573646
Agadir-Ida Ou Tanane,Souss-Massa,2042,10,0.3179124551446599,0.0,0.9090611534646558
Agadir-Ida Ou Tanane,Souss-Massa,2042,11,0.3115387203964432,0.0,0.8963324292920651
Agadir-Ida Ou Tanane,Souss-Massa,2042,12,0.3143453611970941,0.0,0.9019429174545693
Agadir-Ida Ou Tanane,Souss-Massa,2043,1,0.3123436157486778,0.0,0.8979425769576455
Agadir-Ida Ou Tanane,Souss-Massa,2043,2,0.3098916492001601,0.0,0.8930357427990677
Agadir-Ida Ou Tanane,Souss-Massa,2043,3,0.3122965304316358,0.0,0.8978484487156557
Agadir-Ida Ou Tanane,Souss-Massa,2043,4,0.32241094747720345,0.0,0.9180071051164725
Agadir-Ida Ou Tanane,Souss-Massa,2043,5,0.3175672860018868,0.0,0.9083716267278545
Agadir-Ida Ou Tanane,Souss-Massa,2043,6,0.31493128424233163,0.0,0.9031112346085577
Agadir-Ida Ou Tanane,Souss-Massa,2043,7,0.316512112059422,0.0,0.9062680577084546
Agadir-Ida Ou Tanane,Souss-Massa,2043,8,0.3131643173770719,0.0,0.8995835786775941
Agadir-Ida Ou Tanane,Souss-Massa,2043,9,0.31525777202038696,0.0,0.9037629238105745
Agadir-Ida Ou Tanane,Souss-Massa,2043,10,0.31795279646490887,0.0,0.9091415648195913
Agadir-Ida Ou Tanane,Souss-Massa,2043,11,0.31153842169518986,0.0,0.89633183174576
Agadir-Ida Ou Tanane,Souss-Massa,2043,12,0.31435689031847464,0.0,0.9019658185117327
Agadir-Ida Ou Tanane,Souss-Massa,2044,1,0.3123476333150822,0.0,0.8979505973759435
Agadir-Ida Ou Tanane,Souss-Massa,2044,2,0.3099032275036667,0.0,0.8930589308616974
Agadir-Ida Ou Tanane,Souss-Massa,2044,3,0.31230876841246086,0.0,0.8978729098139364
Agadir-Ida Ou Tanane,Souss-Massa,2044,4,0.3224488987704972,0.0,0.9180823306514282
Agadir-Ida Ou Tanane,Souss-Massa,2044,5,0.3175672860018868,0.0,0.9083716267278545
Agadir-Ida Ou Tanane,Souss-Massa,2044,6,0.31493128424233163,0.0,0.9031112346085577
Agadir-Ida Ou Tanane,Souss-Massa,2044,7,0.3157570066492553,0.0,0.904763477101843
Agadir-Ida Ou Tanane,Souss-Massa,2044,8,0.31316373545355486,0.0,0.8995824181884156
Agadir-Ida Ou Tanane,Souss-Massa,2044,9,0.31525777202038696,0.0,0.9037629238105745
Agadir-Ida Ou Tanane,Souss-Massa,2044,10,0.3179564917785378,0.0,0.9091489063316283
Agadir-Ida Ou Tanane,Souss-Massa,2044,11,0.31153842169518986,0.0,0.89633183174576
Agadir-Ida Ou Tanane,Souss-Massa,2044,12,0.31435689031847464,0.0,0.9019658185117327
