commune_id,commune,province,region,latitude,longitude,temp_mean,precip_annual
203,Aouint Lahna,Assa-Zag,Guelmim-Oued Noun,28.537724,-9.770313,21.10198717948718,66.8323076923077
204,Aouint Yghomane,Guelmim,Guelmim-Oued Noun,28.469608,-10.400177,19.01352564102564,111.58000000000001
205,Aoulouz,Taroudant,Souss-Massa,30.660866,-8.185286,18.643076923076926,207.81230769230768
206,Aourir,Agadir-Ida Ou Tanane,Souss-Massa,30.521139,-9.610881,19.988397435897436,286.9161538461538
207,Aousserd,Aousserd,Dakhla-Oued Ed-Dahab,22.715409,-14.634455,25.64878205128205,42.35846153846155
208,Aqesri,Agadir-Ida Ou Tanane,Souss-Massa,30.592379,-9.516125,18.745192307692307,319.69461538461536
209,Aquermoud,Essaouira,Marrakech-Safi,31.771497,-9.538393,18.093397435897437,280.83923076923077
210,Aquouass Briech,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,35.551651,-5.958055,18.014358974358974,704.5676923076924
211,Arazane,Taroudant,Souss-Massa,30.466883,-8.533076,19.91076923076923,268.89153846153846
212,Arbaa Aït Abdellah,Sidi Ifni,Guelmim-Oued Noun,29.334417,-9.878277,18.298076923076923,222.6061538461538
213,Arbaa Aït Ahmed,Chtouka-Aït Baha,Souss-Massa,29.765059,-9.344184,18.869935897435898,312.02076923076925
214,Arbaa Rasmouka,Tiznit,Souss-Massa,29.803286,-9.525534,19.352371794871793,283.60153846153844
215,Arbaa Sahel,Tiznit,Souss-Massa,29.612253,-9.931382,18.325,259.59000000000003
216,Arbaa Taourirt,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,34.904653,-3.911639,15.063589743589745,465.76692307692304
217,Arbaoua,Larache,Tanger-Tétouan-Al Hoceïma,34.913497,-5.939344,17.960192307692306,730.8246153846155
218,Arekmane,Nador,Oriental,35.059828,-2.701566,17.967371794871795,332.14384615384614
219,Argana,Taroudant,Souss-Massa,30.735598,-9.06068,18.898846153846154,351.5623076923077
220,Asjen,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.88136,-5.64852,17.76410256410256,967.4746153846154
221,Askaouen,Al Haouz,Marrakech-Safi,30.694026,-7.783883,13.908782051282051,225.34692307692308
222,Asni,Al Haouz,Marrakech-Safi,31.156314,-7.920543,11.07673076923077,511.44153846153847
223,Asrir,Guelmim,Guelmim-Oued Noun,28.815782,-10.112357,18.881282051282053,125.86999999999999
224,Assa,Assa-Zag,Guelmim-Oued Noun,28.615563,-9.423054,23.014230769230767,56.508461538461546
225,Assads,Taroudant,Souss-Massa,30.206951,-8.889566,19.36724358974359,315.2538461538461
226,Assahrij,El Kelâa des Sraghna,Marrakech-Safi,31.788886,-7.154068,17.760705128205128,507.07384615384615
