rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
142,Passage,Chichaoua,4,Gmassa,0.615,Assa,0.727,Assa-Zag,43.42599549211119,
143,Rk,Guercif,4,Saka,0.333,Zarkat,0.5,Taounate,43.57625845229151,
144,Z . Cheikh,Béni Mellal,4,Oulad M'Barek,0.348,Zaouiat Cheikh,0.667,Khénifra,43.726521412471826,
145,Bkakcha,Settat,4,Dar Chaffai,0.444,Brikcha,0.714,Ouezzane,43.87678437265214,
146,Ras lma,Moulay Yacoub,4,Sidi El Abed,0.105,Ras El Ma,0.875,Berkane,44.02704733283246,
147,Bourached,Taza,4,Bouchfaa,0.588,Rouached,0.824,Fquih Ben Salah,44.17731029301277,
148,Lahmadna,El Kelâa des Sraghna,4,Hiadna,0.714,Lahsasna,0.75,Berrechid,44.32757325319309,
149,Kolla,Larache,4,Souk Tolba,0.533,Kechoula,0.615,Chichaoua,44.4778362133734,
150,Ait brahim,Tinghir,4,Aït Hani,0.667,Ait Baha,0.778,Chtouka-Aït Baha,44.62809917355372,
151,Alouahda,Taza,4,Oulad Zbair,0.526,Lounasda,0.75,El Kelâa des Sraghna,44.778362133734035,
152,laamarcha,Settat,4,Dar Chaffai,0.5,Laamamra,0.824,Chichaoua,44.92862509391435,
153,Ait Hamou Ousaid,Tinghir,4,Ait Ouassif,0.593,Ait Haddou Youssef,0.706,Taroudant,45.07888805409466,
154,Jyarine,Taza,4,Barkine,0.714,Barkine,0.714,Taza,45.22915101427498,
155,ighilnoumgoune,Tinghir,4,Ikniouen,0.455,Ighil N'Oumgoun,0.897,Azilal,45.3794139744553,
156,Guéliz,Tinghir,4,Ouaklim,0.462,Guelmim,0.769,Guelmim,45.52967693463561,
157,Ghorm El Alam,Béni Mellal,4,Foum El Anceur,0.519,Sour El Aaz,0.667,El Kelâa des Sraghna,45.67993989481593,
158,15 Eme Gare,Taza,4,El Gouzate,0.476,Oulad El Garne,0.56,El Kelâa des Sraghna,45.830202854996244,
159,Iwariden,Azilal,4,Aït Majden,0.556,Mibladen,0.625,Midelt,45.98046581517656,
160,Hajra,Béni Mellal,4,Had Bradia,0.533,Anjra,0.8,Fahs-Anjra,46.13072877535687,
161,tabrkhacht,Tinghir,4,Outerbat,0.333,Tabaroucht,0.7,Béni Mellal,46.28099173553719,
162,AS jberl,Tinghir,4,Assoul,0.429,Sidi Jaber,0.667,Béni Mellal,46.431254695717506,
163,Agoudid,Azilal,4,Agoudi N'Lkhair,0.545,Agoudim,0.857,Midelt,46.58151765589782,
164,M.I.B.D,Azilal,4,Moulay Aissa Ben Driss,0.276,Mibladen,0.533,Midelt,46.73178061607814,
165,ait h ousaid,Tinghir,4,Aït Hani,0.7,Ait Said,0.8,Essaouira,46.882043576258454,
166,ait abdoune,Tinghir,4,Ait Youl,0.632,Ait Yadine,0.762,Khemisset,47.03230653643877,
167,Alqods,Agadir-Ida Ou Tanane,4,Aqesri,0.5,Al Oued,0.615,Chefchaouen,47.18256949661908,
168,boukerra,Ouezzane,4,Bou Jedyane,0.526,Boukraa,0.8,Laâyoune,47.3328324567994,
169,Ait h said,Tinghir,4,Aït Hani,0.778,Ait Said,0.889,Essaouira,47.483095416979715,
170,Haouafate,Sidi Kacem,3,Chbanate,0.588,Al Haouafate,0.857,Sidi Slimane,47.595792637114954,
171,Ihchach,Agadir-Ida Ou Tanane,3,Ait Aissi Ihahane,0.333,Tichla,0.615,Aousserd,47.708489857250186,
172,A. taourirt,Al Hoceïma,3,Arbaa Taourirt,0.8,Taourirt,0.842,Taourirt,47.821187077385424,
173,"A,chefkaoui",Al Haouz,3,Askaouen,0.526,Dar Chaoui,0.667,Tanger-Assilah,47.93388429752066,
174,Jiyarine,Taza,3,Barkine,0.667,Bni Yagrine,0.737,Settat,48.046581517655895,
175,segangan,Nador,3,Zeghanghane,0.737,Zeghanghane,0.737,Nador,48.15927873779113,
176,Ghorm el alam,Béni Mellal,3,Foum El Anceur,0.519,Sour El Aaz,0.667,El Kelâa des Sraghna,48.27197595792637,
177,Gouzat,Taza,3,El Gouzate,0.75,El Gouzate,0.75,Taza,48.38467317806161,
178,Kebdani,Driouch,3,Dar El Kebdani,0.667,Dar El Kebdani,0.667,Driouch,48.49737039819684,
179,ighrmloulne,Tinghir,3,Aghbalou N'Kerdous,0.483,Tighedouine,0.636,Al Haouz,48.61006761833208,
180,MunicipalitéBM,Béni Mellal,3,Tilougguite,0.32,Bni Tadjite,0.48,Errachidia,48.72276483846732,
181,Municipalité,Nador,3,Beni Chiker,0.435,Mzilate,0.526,Chichaoua,48.83546205860255,
182,agouidir,Chichaoua,3,Ighoud,0.571,Agoudim,0.8,Midelt,48.94815927873779,
183,Walili,Meknès,3,Oualili,0.769,Talilit,0.769,Driouch,49.06085649887303,
184,Mesmoda,Ouezzane,3,Masmouda,0.8,Masmouda,0.8,Ouezzane,49.17355371900826,
185,Menara,Tinghir,3,Imider,0.5,Mnasra,0.833,Kénitra,49.2862509391435,
186,berraka,Nador,3,Hassi Berkane,0.5,Braksa,0.769,Khouribga,49.39894815927874,
187,ait idr,Tinghir,3,Aït Hani,0.667,Ait Said,0.8,Essaouira,49.51164537941398,
188,Mbarek El bakay,Sefrou,3,Dar El Hamra,0.593,Dar El Hamra,0.593,Sefrou,49.62434259954921,
189,Medina,Al Haouz,3,Oukaimeden,0.5,Médiouna,0.857,Nouaceur,49.73703981968445,
190,Mansoura,Chefchaouen,3,Bni Mansour,0.737,Mançoura,0.875,Taounate,49.849737039819686,
191,Lalla Aicha,Sidi Kacem,3,Bab Tiouka,0.19,Laagagcha,0.7,Sidi Bennour,49.96243425995492,
192,ait s jbel,Tinghir,3,Ait Sedrate Jbel El Oulia,0.571,Bni Sidel Jbel,0.667,Nador,50.07513148009016,
193,ait slimane,Tinghir,3,Aït Hani,0.632,Sidi Slimane,0.783,Sidi Slimane,50.187828700225396,
194,Ait mraou,Tinghir,3,Ait Youl,0.706,Aït Kamra,0.778,Al Hoceïma,50.300525920360634,
195,Ait yassine,Tinghir,3,Ait Ouassif,0.727,Ait Yadine,0.857,Khemisset,50.413223140495866,
196,Ait Tazarine,Tinghir,3,Aït Elfarsi,0.609,Tazarine,0.8,Taza,50.525920360631105,
197,"M,Bouchta",Taounate,3,Bouhouda,0.588,Bouchfaa,0.706,Taza,50.63861758076634,
198,Laanoucer,Sefrou,3,Laanoussar,0.737,Laanoussar,0.737,Sefrou,50.751314800901575,
199,Foum er,Béni Mellal,3,Foum El Anceur,0.667,Foum Jemaa,0.706,El Kelâa des Sraghna,50.864012021036814,
200,boutaghrar,Tinghir,3,Outerbat,0.444,Boughriba,0.737,Berkane,50.97670924117205,
201,boumalne k,Tinghir,3,Boumalne Dadès,0.75,Boumalne Dadès,0.75,Tinghir,51.089406461307284,
202,Iknioune,Ouarzazate,3,Toundoute,0.471,Ikniouen,0.875,Tinghir,51.20210368144252,
203,Jamila,Fquih Ben Salah,3,Bejaad,0.5,Msila,0.727,Taza,51.31480090157776,
204,15éme GARE,Taza,3,El Gouzate,0.5,M'Garto,0.588,Khouribga,51.427498121713,
205,zte sidi kacem,Tétouan,3,Zaouiat Sidi Kacem,0.812,Sidi Kacem,0.833,Sidi Kacem,51.54019534184823,
206,Kamoune,Béni Mellal,3,Naour,0.5,Zaïtoune,0.667,Tétouan,51.65289256198347,
