feature,importance_gain,importance_pct,classe_altitude_rank,classe_altitude
humidite_pct_lag3,21686.28367805481,0.37890975118463915,1,Plateau
temp_moy_lag4,21412.354722976685,0.374123576026562,1,Plateau
humidite_pct_lag4,19870.063276290894,0.3471761618456216,1,Plateau
humidite_pct_lag5,19418.495350837708,0.3392862212353926,1,Plateau
precip_mm_lag3,18477.737387657166,0.3228489943206481,1,Plateau
temp_moy_lag3,17143.236665725708,0.2995321667807381,1,Plateau
cases_lag3,7893.051586151123,0.13790994607446289,1,Plateau
cos_month,5262.136695861816,0.09194175155728684,1,Plateau
psi_mean,3759.536231994629,0.06568783104484853,1,Plateau
psi_sd,3223.7542209625244,0.05632647473764422,1,Plateau
sin_month,1777.3593082427979,0.03105459576430239,1,Plateau
y_epi,359.4759979248047,0.006280880714862765,1,Plateau
y_ento_soft,252.90039825439453,0.004418757422879203,1,Plateau
y_ento_hard,98.57880020141602,0.001722400629398628,1,Plateau
cases_roll6,537616.0318813324,32.022930664293156,2,Moyenne montagne
province,228163.23111343384,13.590471445798208,2,Moyenne montagne
aridity_index,143739.8175778389,8.561817243220329,2,Moyenne montagne
latitude,100029.21541118622,5.958208906655349,2,Moyenne montagne
cases_roll3,67906.78806781769,4.044846576321161,2,Moyenne montagne
longitude,61776.70917892456,3.6797103460292013,2,Moyenne montagne
humidite_pct_lag6,37433.72482538223,2.229728102405326,2,Moyenne montagne
temp_moy_lag2,35494.34270572662,2.1142094134778917,2,Moyenne montagne
cases_lag1,34220.57672786713,2.038337941697575,2,Moyenne montagne
elevation_m,34002.229053497314,2.025332130816925,2,Moyenne montagne
humidite_pct_lag1,31734.3471660614,1.890246456042634,2,Moyenne montagne
precip_mm,29041.378306865692,1.7298406088484048,2,Moyenne montagne
cases_lag12,25746.07039833069,1.5335566247134118,2,Moyenne montagne
lai,25052.292547225952,1.4922319641659876,2,Moyenne montagne
temp_moy,21832.42576789856,1.3004416072790461,2,Moyenne montagne
temp_moy_lag1,19702.530985832214,1.1735750912458984,2,Moyenne montagne
precip_mm_lag6,19642.939480304718,1.170025541871394,2,Moyenne montagne
temp_moy_lag6,19196.30647134781,1.1434219864897557,2,Moyenne montagne
temp_moy_lag5,18317.43336725235,1.0910721851330631,2,Moyenne montagne
humidite_pct_lag2,18204.273443222046,1.084331849677444,2,Moyenne montagne
humidite_pct_lag3,16759.98405122757,0.9983032041082915,2,Moyenne montagne
precip_mm_lag3,16434.25602865219,0.9789013163970058,2,Moyenne montagne
precip_mm_lag5,16239.091804504395,0.9672764204723713,2,Moyenne montagne
precip_mm_lag1,14878.295247554779,0.8862209994892689,2,Moyenne montagne
precip_mm_lag2,14810.815317630768,0.8822015785846763,2,Moyenne montagne
temp_moy_lag3,13222.467330932617,0.787592127912581,2,Moyenne montagne
humidite_pct,12668.712419509888,0.7546078899399009,2,Moyenne montagne
humidite_pct_lag5,12607.897191047668,0.7509854498918171,2,Moyenne montagne
humidite_pct_lag4,11975.646732330322,0.713325649213771,2,Moyenne montagne
precip_mm_lag4,9970.237204551697,0.5938740583881781,2,Moyenne montagne
temp_moy_lag4,8257.151359081268,0.49183463620147083,2,Moyenne montagne
cases_lag2,7655.50991153717,0.4559980516932874,2,Moyenne montagne
y_ento_soft,5832.909420013428,0.34743542389268206,2,Moyenne montagne
sin_month,4451.625994682312,0.26515970900685976,2,Moyenne montagne
cases_lag3,2084.400834083557,0.12415668326123494,2,Moyenne montagne
cos_month,1381.4090042114258,0.0822831949525216,2,Moyenne montagne
psi_mean,763.9915981292725,0.045506920411920324,2,Moyenne montagne
cases_roll3,508791.41036129,30.652424815344304,3,Haute montagne
province,136499.81284713745,8.2235080337429,3,Haute montagne
latitude,81751.08323287964,4.925140010892467,3,Haute montagne
longitude,80846.37827825546,4.870635551821518,3,Haute montagne
cases_roll6,77413.63058376312,4.663827735351592,3,Haute montagne
temp_moy_lag1,62222.96604299545,3.748657602270226,3,Haute montagne
elevation_m,57353.83054637909,3.455313794402528,3,Haute montagne
humidite_pct,49700.680146217346,2.9942454420989764,3,Haute montagne
lai,45940.16975593567,2.767691377588378,3,Haute montagne
cases_lag1,43486.79230117798,2.619886272305212,3,Haute montagne
aridity_index,41258.856167793274,2.485663006284526,3,Haute montagne
temp_moy_lag6,36496.84412193298,2.1987729109862464,3,Haute montagne
precip_mm_lag1,33845.414385318756,2.039036034538147,3,Haute montagne
humidite_pct_lag6,31858.546347618103,1.9193360515915332,3,Haute montagne
humidite_pct_lag1,29690.92585992813,1.7887465355854824,3,Haute montagne
precip_mm_lag3,26784.47401714325,1.6136457088495901,3,Haute montagne
precip_mm_lag5,25437.402671337128,1.5324906376212721,3,Haute montagne
precip_mm_lag4,22376.618208885193,1.3480919553702086,3,Haute montagne
temp_moy_lag3,21787.762199878693,1.312615993756945,3,Haute montagne
cases_lag12,21623.533787727356,1.3027219606551723,3,Haute montagne
precip_mm_lag2,21362.259929656982,1.2869813700563055,3,Haute montagne
temp_moy_lag4,19915.902242660522,1.199844737334317,3,Haute montagne
humidite_pct_lag5,19911.307291030884,1.1995679118877993,3,Haute montagne
precip_mm,18991.83119249344,1.1441735569400384,3,Haute montagne
humidite_pct_lag2,18965.679799079895,1.1425980515283887,3,Haute montagne
temp_moy,17566.24137544632,1.0582880962292773,3,Haute montagne
temp_moy_lag2,16873.213581085205,1.0165362467896153,3,Haute montagne
humidite_pct_lag4,15614.067136764526,0.9406782607268376,3,Haute montagne
precip_mm_lag6,15309.99038887024,0.922358985945242,3,Haute montagne
humidite_pct_lag3,14633.908484458923,0.8816280511810977,3,Haute montagne
temp_moy_lag5,14099.81695652008,0.8494514065458578,3,Haute montagne
sin_month,13064.120849609375,0.7870553117963767,3,Haute montagne
cases_lag2,9754.863392829895,0.5876872341857095,3,Haute montagne
cases_lag3,3937.5297751426697,0.23721869696077516,3,Haute montagne
cos_month,2687.918176651001,0.16193514305024648,3,Haute montagne
psi_mean,1771.5046195983887,0.10672529263753872,3,Haute montagne
psi_sd,245.9967918395996,0.014820215147352498,3,Haute montagne
