rang,Commune_origine,Commune,Province,n_cas,DECISION_HUMAINE,niveau_resolution,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct
458,Chjahaid baha,Sefrou,Sefrou,1,Sefrou,province,Ahl Sidi Lahcen,0.5,Ait Baha,0.667,Chtouka-Aït Baha,59.62509012256669
459,Lmzem,El Kelâa des Sraghna,El Kelâa des Sraghna,1,El Kelâa des Sraghna,province,Zemrane,0.5,Talzemt,0.667,Boulemane,59.69718817591925
460,Lmzam*,Azilal,Azilal,1,Azilal,province,Ait M'Hamed,0.353,Mazguitam,0.533,Guercif,59.769286229271806
461,Lhotte,Tinghir,Tinghir,1,Tinghir,province,Outerbat,0.429,Hattane,0.615,Khouribga,59.84138428262437
462,Lhote,Tinghir,Tinghir,1,Tinghir,province,Outerbat,0.462,Tlite,0.6,Ouarzazate,59.91348233597693
463,Lemzar,Zagora,Zagora,1,Zagora,province,Zagora,0.5,Témara,0.667,Skhirate-Témara,59.985580389329485
464,Lbour,Tinghir,Tinghir,1,Tinghir,province,Outerbat,0.462,Bourd,0.8,Al Hoceïma,60.05767844268205
465,Lari Chiekh,Nador,Nador,1,Nador,province,Beni Chiker,0.545,Larache,0.667,Larache,60.12977649603461
466,Lalla aicha,Ouezzane,Ouezzane,1,Ouezzane,province,Lamrabih,0.526,Laagagcha,0.7,Sidi Bennour,60.20187454938716
467,Lalla Aicha,Ouezzane,Ouezzane,1,Ouezzane,province,Lamrabih,0.526,Laagagcha,0.7,Sidi Bennour,60.273972602739725
468,Lakrimat,Essaouira,Essaouira,1,Essaouira,province,Korimate,0.75,Korimate,0.75,Essaouira,60.34607065609229
469,Lakrakra,Settat,Settat,1,Settat,province,Lahouaza,0.5,Laqraqra,0.75,Fquih Ben Salah,60.41816870944484
470,Labita od said,Settat,Settat,1,Settat,province,Oulad Saïd,0.667,Ait Said,0.727,Essaouira,60.49026676279741
471,Laazib,Taroudant,Taroudant,1,Taroudant,province,Lamhadi,0.615,Melaab,0.667,Errachidia,60.562364816149966
472,Laayayta,Béni Mellal,Béni Mellal,1,Béni Mellal,province,Kasba Tadla,0.211,Oulad Ayyad,0.526,Sefrou,60.63446286950252
473,Laari Chikh,Taounate,Taounate,1,Taounate,province,Aïn Aïcha,0.5,Zaouiat Cheikh,0.64,Khénifra,60.70656092285508
474,Laai chikh,Nador,Nador,1,Nador,province,Beni Chiker,0.571,Zaouiat Cheikh,0.667,Khénifra,60.778658976207645
475,M'Hirija,Guercif,Guercif,1,Guercif,province,Lamrija,0.667,Merija,0.714,Jerada,60.8507570295602
476,Boumardoul,Tinghir,Tinghir,1,Tinghir,province,Bou Azmou,0.632,Bouarouss,0.737,Taounate,60.92285508291276
477,Boumalne kcer,Tinghir,Tinghir,1,Tinghir,province,Boumalne Dadès,0.741,Boumalne Dadès,0.741,Tinghir,60.99495313626532
478,Boumalne k,Tinghir,Tinghir,1,Tinghir,province,Boumalne Dadès,0.75,Boumalne Dadès,0.75,Tinghir,61.06705118961788
479,Boumalene,Ouarzazate,Ouarzazate,1,Ouarzazate,province,Toundoute,0.333,Boulemane,0.778,Boulemane,61.13914924297044
480,Boulaajat,Taroudant,Taroudant,1,Taroudant,province,Ouled Aissa,0.5,Loulja,0.667,Fès,61.211247296323
481,Boukorra,Chefchaouen,Chefchaouen,1,Chefchaouen,province,Bni Bouzra,0.556,Bouskoura,0.824,Nouaceur,61.28334534967556
482,Boukora,Chefchaouen,Chefchaouen,1,Chefchaouen,province,Bni Bouzra,0.588,Bouskoura,0.875,Nouaceur,61.35544340302812
483,Boukhalef,Guercif,Guercif,1,Guercif,province,Bouchaouene,0.6,Bouhmame,0.706,Sidi Bennour,61.42754145638068
484,Boujdian,Larache,Larache,1,Larache,province,Souaken,0.533,Oujda,0.769,Oujda-Angad,61.49963950973324
