rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
136,c boumalne,Tinghir,5,Boumalne Dadès,0.667,Boulemane,0.737,Boulemane,49.231661351116266,
137,Farkhana,Nador,5,Arekmane,0.625,Argana,0.714,Taroudant,49.37663090750942,
138,Al quods,Taza,5,Bab Boudir,0.444,Al Oued,0.667,Chefchaouen,49.52160046390258,
139,A.Taourirt,Al Hoceïma,5,Arbaa Taourirt,0.75,Taourirt,0.889,Taourirt,49.66657002029574,
140,Beni Garfat,Larache,5,Bni Garfett,0.818,Bni Garfett,0.818,Larache,49.811539576688894,
141,Ait Atab,Azilal,5,Aït Abbas,0.706,Ait Taleb,0.824,Rehamna,49.95650913308205,
142,Taghgigt,Guelmim,5,Tiglit,0.571,Taghzirt,0.75,Béni Mellal,50.10147868947521,
143,Kelaa,El Kelâa des Sraghna,5,El Aamria,0.571,Melaab,0.727,Errachidia,50.246448245868365,
144,Rhouazi,Taounate,5,Rghioua,0.714,Ghouazi,0.857,Moulay Yacoub,50.39141780226152,
145,Bibane,Taounate,5,El Bibane,0.8,El Bibane,0.8,Taounate,50.536387358654686,
146,sekoura,Sefrou,5,Sefrou,0.615,Meskoura,0.8,Khouribga,50.68135691504784,
147,tighrmatine,Tinghir,5,Tilmi,0.5,Ighzrane,0.737,Taza,50.826326471441,
148,"A,Maatouf",Taounate,5,Ain Maatouf,0.8,Ain Maatouf,0.8,Taounate,50.97129602783416,
149,kansara,Moulay Yacoub,5,Laajajra,0.533,Mkansa,0.769,Sidi Kacem,51.116265584227314,
150,Taouima,Nador,5,Al Aroui,0.533,Touama,0.769,Marrakech,51.26123514062047,
151,B.E.O,Azilal,5,Bin El Ouidane,0.316,Bzou,0.444,El Kelâa des Sraghna,51.40620469701363,
152,Bouzmlane,Taza,5,Bouyablane,0.737,Boulemane,0.778,Boulemane,51.551174253406785,
153,H K,Sidi Kacem,5,Sidi Kacem,0.308,N'Kob,0.5,Tinghir,51.69614380979994,
154,Ait brahim,Tinghir,4,Aït Hani,0.667,Ait Baha,0.778,Chtouka-Aït Baha,51.812119454914466,
155,Z . Cheikh,Béni Mellal,4,Oulad M'Barek,0.348,Zaouiat Cheikh,0.667,Khénifra,51.928095100029,
156,Iwariden,Azilal,4,Aït Majden,0.556,Mibladen,0.625,Midelt,52.04407074514352,
157,Hajra,Béni Mellal,4,Had Bradia,0.533,Anjra,0.8,Fahs-Anjra,52.160046390258046,
158,tabrkhacht,Tinghir,4,Outerbat,0.333,Tabaroucht,0.7,Béni Mellal,52.27602203537257,
159,tazitount,Chichaoua,4,Ain Tazitounte,0.783,Ain Tazitounte,0.783,Chichaoua,52.391997680487094,
160,A S S gharbia,Tinghir,4,Ait Sedrate Sahl El Gharbia,0.65,Had Al Gharbia,0.741,Tanger-Assilah,52.507973325601625,
161,"A,Aicha",Taounate,4,Aïn Aïcha,0.75,Ayacha,0.769,Larache,52.62394897071615,
162,"S,Redouane",Ouezzane,4,Sidi Redouane,0.783,Sidi Redouane,0.783,Ouezzane,52.739924615830674,
163,Rk,Guercif,4,Saka,0.333,Zarkat,0.5,Taounate,52.8559002609452,
164,AS jberl,Tinghir,4,Assoul,0.429,Sidi Jaber,0.667,Béni Mellal,52.97187590605973,
165,tabrkhcht,Tinghir,4,Outerbat,0.353,Tabaroucht,0.737,Béni Mellal,53.08785155117425,
166,"A,Mediouna",Taounate,4,Ain Mediouna,0.818,Médiouna,0.889,Nouaceur,53.20382719628878,
167,Binlwidane,Azilal,4,Bin El Ouidane,0.75,Bin El Ouidane,0.75,Azilal,53.3198028414033,
168,Ras lma,Moulay Yacoub,4,Sidi El Abed,0.105,Ras El Ma,0.875,Berkane,53.43577848651783,
169,Sarghin,Tinghir,4,Tinghir,0.429,Serghina,0.8,Boulemane,53.55175413163236,
170,Beni Aros,Larache,4,Bni Garfett,0.6,Bni Arouss,0.842,Tétouan,53.66772977674688,
171,laamarcha,Settat,4,Dar Chaffai,0.5,Laamamra,0.824,Chichaoua,53.783705421861406,
172,Babmrouj,Taza,4,Bab Marzouka,0.7,Bab Marzouka,0.7,Taza,53.89968106697594,
173,ighilnoumgoune,Tinghir,4,Ikniouen,0.455,Ighil N'Oumgoun,0.897,Azilal,54.01565671209046,
174,Passage,Chichaoua,4,Gmassa,0.615,Assa,0.727,Assa-Zag,54.131632357204985,
175,Jyarine,Taza,4,Barkine,0.714,Barkine,0.714,Taza,54.24760800231951,
176,Syba,Al Haouz,4,Sidi Badhaj,0.4,Sbouya,0.6,Sidi Ifni,54.36358364743404,
177,Bourached,Taza,4,Bouchfaa,0.588,Rouached,0.824,Fquih Ben Salah,54.479559292548565,
178,Boumlne,Ouarzazate,4,Toundoute,0.5,Boulemane,0.75,Boulemane,54.59553493766309,
179,Skhinate,Fès,4,Sidi Hrazem,0.421,Skhirate,0.875,Skhirate-Témara,54.71151058277761,
180,Skoura,Taounate,4,Ourtzagh,0.571,Meskoura,0.857,Khouribga,54.827486227892145,
181,B.S.jbel,Nador,4,Bni Sidel Jbel,0.545,Jbiel,0.615,El Kelâa des Sraghna,54.94346187300667,
182,Takerkoust,Al Haouz,4,Lalla Takarkoust,0.692,Tamegroute,0.7,Zagora,55.05943751812119,
183,Ouled Abdellah,Fquih Ben Salah,4,Oulad Fares El Halla,0.588,Oulad Salah,0.72,Nouaceur,55.17541316323572,
184,Ait Hamd,Tinghir,4,Aït Hani,0.75,Ait Hadi,0.875,Chichaoua,55.29138880835025,
185,Kolla,Larache,4,Souk Tolba,0.533,Kechoula,0.615,Chichaoua,55.40736445346477,
186,Ait Hamou Ousaid,Tinghir,4,Ait Ouassif,0.593,Ait Haddou Youssef,0.706,Taroudant,55.5233400985793,
187,Agoudid,Azilal,4,Agoudi N'Lkhair,0.545,Agoudim,0.857,Midelt,55.63931574369382,
188,Tichibite,Azilal,4,Tisqi,0.429,Chaibate,0.706,El Jadida,55.75529138880835,
189,Tigoudar,Essaouira,4,Lagdadra,0.5,Tigouga,0.8,Taroudant,55.87126703392288,
190,Ghorm El Alam,Béni Mellal,4,Foum El Anceur,0.519,Sour El Aaz,0.667,El Kelâa des Sraghna,55.9872426790374,
191,Guéliz,Tinghir,4,Ouaklim,0.462,Guelmim,0.769,Guelmim,56.103218324151925,
192,Ighilamgoune,Tinghir,4,Kalaat M'Gouna,0.538,Ighil N'Oumgoun,0.741,Azilal,56.219193969266456,
193,15 Eme Gare,Taza,4,El Gouzate,0.476,Oulad El Garne,0.56,El Kelâa des Sraghna,56.33516961438098,
194,Bkakcha,Settat,4,Dar Chaffai,0.444,Brikcha,0.714,Ouezzane,56.451145259495505,
